"protein_id","n_valid","loess_corr","loess_corr_abs","loess_mae_z","loess_converged","effective_span","rank","EntrezGeneSymbol","TargetFullName","Target","UniProt"
"X7110.2",368,-0.439297713144172,0.439297713144172,1.48247569759961,TRUE,0.75,4476,"DNAJB11","DnaJ homolog subfamily B member 11","DJB11","Q9UBS4"
"X21512.6",358,-0.44022750720147,0.44022750720147,1.4532970970479,TRUE,0.75,4477,"EDEM2","ER degradation-enhancing alpha-mannosidase-like 2","EDEM2","Q9BV94"
"X19242.21",363,-0.441635707784954,0.441635707784954,1.4292668107004,TRUE,0.75,4478,"PFDN1","Prefoldin subunit 1","PFD1","O60925"
"X4429.51",368,-0.44194967414568,0.44194967414568,1.58085956356563,TRUE,0.75,4479,"CHST6","Carbohydrate sulfotransferase 6","CHST6","Q9GZX3"
"X15434.5",366,-0.442120931152446,0.442120931152446,1.40932442585214,TRUE,0.75,4480,"PNOC","Prepronociceptin","PNOC","Q13519"
"X22365.52",365,-0.444237867986167,0.444237867986167,1.49215063090277,TRUE,0.75,4481,"ATF5","Cyclic AMP-dependent transcription factor ATF-5","ATF5","Q9Y2D1"
"X21382.70",353,-0.444368947997711,0.444368947997711,1.55086967373559,TRUE,0.75,4482,"ELAC1","Zinc phosphodiesterase ELAC protein 1","RNZ1","Q9H777"
"X23581.131",363,-0.444392133721762,0.444392133721762,1.46656685624222,TRUE,0.75,4483,"GHRL","Obestatin","Obestatin","Q9UBU3"
"X19303.64",368,-0.444490625066221,0.444490625066221,1.41940774792245,TRUE,0.75,4484,"PET117","Protein PET117 homolog, mitochondrial","PT117","Q6UWS5"
"X2515.14",368,-0.444526745483022,0.444526745483022,1.45671907378156,TRUE,0.75,4485,"GFRA2","GDNF family receptor alpha-2","GFRa-2","O00451"
"X5759.10",368,-0.445418919777999,0.445418919777999,1.49446028180931,TRUE,0.75,4486,"EFNA3","Ephrin-A3","Ephrin-A3","P52797"
"X17387.27",365,-0.445482221776904,0.445482221776904,1.31487530551054,TRUE,0.75,4487,"NFKBIB","NF-kappa-B inhibitor beta","IKB-beta","Q15653"
"X23398.1",367,-0.445990931805977,0.445990931805977,1.46100064682642,TRUE,0.75,4488,"POLR2M","DNA-directed RNA polymerase II subunit GRINL1A","GRL1A","P0CAP2"
"X25437.18",359,-0.44614845522437,0.44614845522437,1.30016632488752,TRUE,0.75,4489,"ANKMY2","Ankyrin repeat and MYND domain-containing protein 2","ANKY2","Q8IV38"
"X23518.7",365,-0.44671412676419,0.44671412676419,1.45190496839512,TRUE,0.75,4490,"FAM151B","Protein FAM151B","F151B","Q6UXP7"
"X11549.6",364,-0.446949130864716,0.446949130864716,1.47370093767035,TRUE,0.75,4491,"ISL1","Insulin gene enhancer protein ISL-1","ISL1","P61371"
"X4673.13",358,-0.447043433558385,0.447043433558385,1.56168373755162,TRUE,0.75,4492,"IL6","Interleukin-6","IL-6","P05231"
"X8671.378",366,-0.447507235766477,0.447507235766477,1.50169457545017,TRUE,0.75,4493,"TRAPPC5","Trafficking protein particle complex subunit 5","TPPC5","Q8IUR0"
"X14205.6",368,-0.447667295322454,0.447667295322454,1.38244580302471,TRUE,0.75,4494,"HEXIM2","Protein HEXIM2","HEXI2","Q96MH2"
"X7049.2",368,-0.448281824013624,0.448281824013624,1.50474570795527,TRUE,0.75,4495,"ADAM23","Disintegrin and metalloproteinase domain-containing protein 23","ADAM 23","O75077"
"X13554.78",365,-0.448764776964895,0.448764776964895,1.49090271511616,TRUE,0.75,4496,"REPIN1","Replication initiator 1","REPI1","Q9BWE0"
"X3038.9",359,-0.448878892130458,0.448878892130458,1.22019076997118,TRUE,0.75,4497,"CXCL11","C-X-C motif chemokine 11","I-TAC","O14625"
"X13665.35",367,-0.449276738053114,0.449276738053114,1.23323375523023,TRUE,0.75,4498,"PPP2R3A","Serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit alpha","PP2A, subunit B","Q06190"
"X9359.9",368,-0.449609851337997,0.449609851337997,1.50460247550128,TRUE,0.75,4499,"DLK2","Protein delta homolog 2","EGFL9","Q6UY11"
"X7190.50",368,-0.450736808342179,0.450736808342179,1.5095164223364,TRUE,0.75,4500,"EPHA4","Ephrin type-A receptor 4","EPHA4","P54764"
"X21106.206",364,-0.451053523500099,0.451053523500099,1.38742767773471,TRUE,0.75,4501,"CETN1","Centrin-1","CETN1","Q12798"
"X6594.64",365,-0.451119232949045,0.451119232949045,1.39814579156644,TRUE,0.75,4502,"SAYSD1","SAYSvFN domain-containing protein 1","SMDC1","Q9NPB0"
"X8446.4",365,-0.451598899911057,0.451598899911057,1.47472828384675,TRUE,0.75,4503,"ADCYAP1","Pituitary adenylate cyclase-activating polypeptide 27","PACAP-27","P18509"
"X12657.2",359,-0.451720161936347,0.451720161936347,1.33376379597054,TRUE,0.75,4504,"TSTA3","GDP-L-fucose synthase","FCL","Q13630"
"X9283.8",366,-0.451728329018615,0.451728329018615,1.54020073486783,TRUE,0.75,4505,"CD44","CD44 antigen","CD44","P16070"
"X11280.6",367,-0.45198345477223,0.45198345477223,1.42989482883176,TRUE,0.75,4506,"GAD1","Glutamate decarboxylase 1","DCE1","Q99259"
"X9751.72",366,-0.452157813420955,0.452157813420955,1.38329384691792,TRUE,0.75,4507,"YBX1","Nuclease-sensitive element-binding protein 1","NSEP1","P67809"
"X7917.17",366,-0.452432762411276,0.452432762411276,1.45782594761281,TRUE,0.75,4508,"CPD","Carboxypeptidase D","CBPD","O75976"
"X21219.7",367,-0.452497832004374,0.452497832004374,1.53065409968608,TRUE,0.75,4509,"RPAIN","RPA-interacting protein","RPAIN","Q86UA6"
"X24962.7",367,-0.452539788956749,0.452539788956749,1.41822999972843,TRUE,0.75,4510,"SH3KBP1","SH3 domain-containing kinase-binding protein 1","SH3K1","Q96B97"
"X9450.18",368,-0.453226227468084,0.453226227468084,1.65428653042072,TRUE,0.75,4511,"CDK2AP1","Cyclin-dependent kinase 2-associated protein 1","CDKA1","O14519"
"X9960.2",365,-0.454525688970779,0.454525688970779,1.22118882202435,TRUE,0.75,4512,"TBC1D5","TBC1 domain family member 5","TBCD5","Q92609"
"X18304.19",365,-0.454563447749094,0.454563447749094,1.48767907901442,TRUE,0.75,4513,"BCCIP","BRCA2 and CDKN1A-interacting protein","BCCIP","Q9P287"
"X5488.74",368,-0.454666468887318,0.454666468887318,1.51350377255096,TRUE,0.75,4514,"SRC","Proto-oncogene tyrosine-protein kinase Src isoform 2","SRCN1","P12931"
"X8376.25",359,-0.456610401738512,0.456610401738512,1.47544059579431,TRUE,0.75,4515,"LHB","Lutropin subunit beta","LSHB","P01229"
"X9051.13",368,-0.456932423034616,0.456932423034616,1.4092399442157,TRUE,0.75,4516,"IL32","Interleukin-32","IL32","P24001"
"X8268.98",367,-0.457052717700712,0.457052717700712,1.2781403039724,TRUE,0.75,4517,"HS3ST3A1","Heparan sulfate glucosamine 3-O-sulfotransferase 3A1","HS3SA","Q9Y663"
"X14703.6",367,-0.457125949484252,0.457125949484252,1.53940318053136,TRUE,0.75,4518,"PROK1","Prokineticin-1","EG-VEGF","P58294"
"X22136.9",363,-0.457260499670894,0.457260499670894,1.47410441807908,TRUE,0.75,4519,"EXOG","Nuclease EXOG, mitochondrial","EXOG","Q9Y2C4"
"X4997.19",367,-0.457283202865153,0.457283202865153,1.52084994714539,TRUE,0.75,4520,"EIF4A3","Eukaryotic initiation factor 4A-III","IF4A3","P38919"
"X4557.61",368,-0.458166537275307,0.458166537275307,1.4986369633461,TRUE,0.75,4521,"KIRREL3","Kin of IRRE-like protein 3","KIRR3","Q8IZU9"
"X9168.31",360,-0.458404748312116,0.458404748312116,1.28877568983926,TRUE,0.75,4522,"CCL26","C-C motif chemokine 26","Eotaxin-3","Q9Y258"
"X12556.7",356,-0.45912427620706,0.45912427620706,1.47548880794746,TRUE,0.75,4523,"UBE2C","Ubiquitin-conjugating enzyme E2 C","UBE2C","O00762"
