"protein_id","n_valid","loess_corr","loess_mae_z","loess_converged","rank","EntrezGeneSymbol","TargetFullName","Target","UniProt"
"X10512.13",145,-0.83696728362134,1.49274855297495,TRUE,6387,"CSF2RB","Cytokine receptor common subunit beta:Extracellular domain","IL3RB:ECD","P32927"
"X13961.18",146,-0.837992510865415,1.5886179937678,TRUE,6388,"KIF3A","Kinesin-like protein KIF3A","KIF3A","Q9Y496"
"X12975.11",145,-0.83830971610112,1.49568748155199,TRUE,6389,"KRT20","Keratin, type I cytoskeletal 20","Keratin 20","P35900"
"X18840.205",145,-0.8383372733661,1.57376332523417,TRUE,6390,"SH2D1B","SH2 domain-containing protein 1B","SH21B","O14796"
"X13620.10",145,-0.838408452977557,1.4871001321188,TRUE,6391,"GET3","ATPase ASNA1","ASNA","O43681"
"X22525.9",145,-0.838435692169603,1.59839022982437,TRUE,6392,"PAX3","Paired box protein Pax-3","PAX3","P23760"
"X18415.16",144,-0.838607378706335,1.64932739076512,TRUE,6393,"ARL6","ADP-ribosylation factor-like protein 6","ARL6","Q9H0F7"
"X12846.3",146,-0.838775360670089,1.5459895935134,TRUE,6394,"FBXL5","F-box/LRR-repeat protein 5","FBXL5","Q9UKA1"
"X12650.43",138,-0.838848079790477,1.59510306641811,TRUE,6395,"GNAI3","Guanine nucleotide-binding protein G(k) subunit alpha","GNAI3","P08754"
"X13422.66",143,-0.839084092280288,1.49845290980372,TRUE,6396,"ENOX2","Ecto-NOX disulfide-thiol exchanger 2","ENOX2","Q16206"
"X8004.15",145,-0.839731830027793,1.45316605674131,TRUE,6397,"GAPDHS","Glyceraldehyde-3-phosphate dehydrogenase, testis-specific","G3PT","O14556"
"X12742.160",144,-0.840062058750826,1.49249459911352,TRUE,6398,"TMEM8B","Transmembrane protein 8B","TMM8B","A6NDV4"
"X24720.10",146,-0.840240793801989,1.5732652242982,TRUE,6399,"ANKRD16","Ankyrin repeat domain-containing protein 16","ANR16","Q6P6B7"
