"protein_id","n_valid","loess_corr","loess_mae_z","loess_converged","rank","EntrezGeneSymbol","TargetFullName","Target","UniProt"
"X10976.44",96,0.0481287775494007,1.14083534420485,TRUE,3198,"MUC1","Mucin-1:region 3","MUC1:region 3","P15941"
"X3739.72",95,0.047985047985048,1.05570352867898,TRUE,3199,"ITGA2B|ITGB3","Integrin alpha-IIb: beta-3 complex","gpIIbIIIa","P08514|P05106"
"X21760.22",97,0.0478257152814767,0.960440466592728,TRUE,3200,"UBA1","Ubiquitin-activating enzyme E1","UBE1","P22314"
"X8429.16",94,0.0474738424186369,1.13506384692045,TRUE,3201,"AXIN2","Axin-2","AXIN2","Q9Y2T1"
"X22085.86",96,0.047192657563239,1.04635810264772,TRUE,3202,"BMI1","Polycomb complex protein BMI-1","BMI-1","P35226"
"X2805.6",95,0.0471030471030471,0.993560603250809,TRUE,3203,"ACE2","Angiotensin-converting enzyme 2","ACE2","Q9BYF1"
"X13109.82",97,0.0470234689918657,0.98166910580166,TRUE,3204,"NEGR1","Neuronal growth regulator 1","NEGR1","Q7Z3B1"
"X15487.164",97,0.0463264353304005,0.967468679842239,TRUE,3205,"CES1","Liver carboxylesterase 1","carboxylesterase, liver","P23141"
"X20926.31",97,0.0461554648096638,0.982761300607052,TRUE,3206,"ATF1","Cyclic AMP-dependent transcription factor ATF-1","ATF1","P18846"
"X7717.95",95,0.0452470950580988,1.12708887504515,TRUE,3207,"CFTR","Cystic fibrosis transmembrane conductance regulator","CFTR","P13569"
"X4491.4",96,0.0447028178377132,1.05868551237456,TRUE,3208,"IL5RA","Interleukin-5 receptor subunit alpha","IL-5 Ra","Q01344"
"X15394.79",96,0.0431963098629765,0.906835528069242,TRUE,3209,"UNC5B","Netrin receptor UNC5B","UNC5B","Q8IZJ1"
"X8106.15",96,0.0430547358852778,1.12782658906897,TRUE,3210,"SSR1","Translocon-associated protein subunit alpha","SSRA","P43307"
