"protein_id","rank_EMCI","loess_corr_EMCI","rank_LMCI","loess_corr_LMCI","rank_AD","loess_corr_AD"
"X9898.161",5680,-0.652684621849004,5510,-0.368413745762777,488,0.799477882332827
"X8785.1",5681,-0.652799534677744,2082,0.325138793705085,1321,0.587250859784446
"X10008.43",5682,-0.652975444288769,3305,0.0751721341485019,2461,0.27233629771329
"X6213.10",5683,-0.653153651402306,1566,0.44787553588933,1280,0.595931595931596
"X15440.57",5684,-0.653430179681931,1352,0.50425554068698,815,0.720502653330966
"X4261.55",5685,-0.6537451922169,6704,-0.736785333265096,1744,0.468531560500549
"X3422.4",5686,-0.653798884054765,1324,0.513847662647987,2084,0.376883263124334
"X3761.4",5687,-0.654251996975773,6748,-0.7577170031927,2789,0.172727704403156
"X8253.2",5688,-0.65466043619735,213,0.816736314373279,4505,-0.347484431818929
"X9884.8",5689,-0.654768081696052,2792,0.178076906072019,723,0.742200695984859
"X7827.20",5690,-0.654806676007178,4746,-0.195461712132873,3199,0.0564645231311898
"X19262.219",5691,-0.655433473440995,5825,-0.443382219668426,824,0.71789864078436
"X9544.24",5692,-0.65545709015389,6287,-0.589069411397213,692,0.750409342881379
"X15430.165",5693,-0.655641061958044,5351,-0.324289610350689,1749,0.467498121278687
"X11568.2",5694,-0.655685421429098,3982,-0.0641295661314007,148,0.894538915543087
"X22402.12",5695,-0.656127866676499,3138,0.109980756549136,3995,-0.196925160942442
"X17739.1",5696,-0.656140197088237,1489,0.468134521263335,3969,-0.188782588588936
"X9719.145",5697,-0.656717793673033,1297,0.519399635184278,44,0.949931940581168
"X3192.3",5698,-0.656865275422167,5642,-0.399684666153577,1164,0.625364134330223
"X14144.3",5699,-0.65690829093233,2877,0.159944313540988,4040,-0.211852202560612
"X10527.22",5700,-0.657084764113976,4697,-0.187212939003274,2061,0.385308371637306
"X25048.30",5701,-0.657098788191628,2241,0.286962658449957,3689,-0.0971178315677339
"X17410.5",5702,-0.657264705159403,2507,0.231056384467951,263,0.864249406535019
"X10714.7",5703,-0.657681132312773,1477,0.470376924333656,5496,-0.602914389799636
"X9089.77",5704,-0.6577865627577,1091,0.571181399633488,6380,-0.806395612633406
"X12001.7",5705,-0.658113901181566,2592,0.217268922946102,3855,-0.152255167314489
"X6469.62",5706,-0.658347890404922,2816,0.171333358266097,3766,-0.123407837025639
"X24286.48",5707,-0.658590950048441,521,0.72660727807773,4698,-0.3986763268443
"X6570.1",5708,-0.658813263525305,5995,-0.500854193259779,4767,-0.414307602269962
"X5202.4",5709,-0.658844117665573,2620,0.211883456619045,6492,-0.826796346609631
"X22015.2",5710,-0.658941977761152,3259,0.0846072271380248,1722,0.474055223478198
"X11596.47",5711,-0.659071356586289,2856,0.163125845998403,1393,0.566688599868401
"X19207.119",5712,-0.65938939673349,3603,0.013135304770753,4766,-0.413978812807007
"X6940.18",5713,-0.65945580158318,2825,0.16922975895851,1055,0.655594494020738
"X21219.7",5714,-0.659937811862449,4249,-0.11416495378101,2632,0.220117082833052
"X8450.36",5715,-0.660085293611582,4757,-0.200148021589106,4139,-0.236932262794842
"X16609.106",5716,-0.66033622605123,2285,0.27753760957005,403,0.823637332070782
"X7808.5",5717,-0.660613769879311,2628,0.211014658187722,4553,-0.360412433502331
"X12715.30",5718,-0.661431064572426,6680,-0.729045270314567,5158,-0.517192401017932
"X6651.74",5719,-0.66147408008259,6481,-0.647871844016212,2123,0.367834103258105
"X12775.6",5720,-0.661713737924932,4785,-0.205850934599262,255,0.866235294891269
"X6587.6",5721,-0.661867364746946,2321,0.266755106841644,715,0.74414919150671
"X8087.250",5722,-0.662174618390974,1258,0.527837444901642,6442,-0.818929066961262
"X24941.14",5723,-0.662223778974019,5090,-0.258757588972602,731,0.74004774004774
"X5981.6",5724,-0.662725942386385,246,0.803801642056388,4286,-0.281713387649353
"X8061.102",5725,-0.663069838239468,645,0.691674179287213,3789,-0.130154596805482
"X22403.13",5726,-0.663428213258609,3723,-0.0119162852041387,4644,-0.38395375904993
"X6494.60",5727,-0.663710886611115,3316,0.0725070489335662,2909,0.142017320628908
"X4918.21",5728,-0.663965101017572,5285,-0.306487626731043,595,0.774599774599775
"X22468.54",5729,-0.664048865619546,3069,0.123505161795387,4062,-0.215876585587185
"X8465.52",5730,-0.66414158515781,1811,0.383811681524625,1704,0.480169081252935
"X20378.110",5731,-0.664142668257603,2910,0.153948660815341,944,0.684481684481684
"X12385.4",5732,-0.66468228373881,6023,-0.508077236038857,200,0.881696140879274
"X21260.74",5733,-0.664749403927931,3075,0.121812953095567,1937,0.424500075621576
"X6441.62",5734,-0.664952191332989,3899,-0.0472640749067715,5523,-0.610213515877243
"X12497.29",5735,-0.665007496988914,535,0.720754003910393,5731,-0.675195465335727
"X21760.22",5736,-0.665032077280437,2638,0.20799895105839,2342,0.306188475271744
"X24111.10",5737,-0.665437652090554,2693,0.197324427613388,3252,0.0393166439801937
