"protein_id","n_valid","loess_corr","loess_corr_abs","loess_mae_z","loess_converged","effective_span","rank","EntrezGeneSymbol","TargetFullName","Target","UniProt"
"X7976.19",489,0.263325938308839,0.263325938308839,1.08096683782092,TRUE,0.75,2832,"FRRS1L","DOMON domain-containing protein FRRS1L","FRS1L","Q9P0K9"
"X17397.8",493,0.263098478024467,0.263098478024467,0.936333850949114,TRUE,0.75,2833,"HSD17B11","Estradiol 17-beta-dehydrogenase 11","DHB11","Q8NBQ5"
"X19196.73",492,0.263049710972641,0.263049710972641,0.901196547071906,TRUE,0.75,2834,"HOPX","Homeodomain-only protein","HOP","Q9BPY8"
"X2686.67",493,0.263042640464675,0.263042640464675,0.957885949935609,TRUE,0.75,2835,"IGFBP6","Insulin-like growth factor-binding protein 6","IGFBP-6","P24592"
"X12834.3",490,0.261758887495071,0.261758887495071,1.05775707944508,TRUE,0.75,2836,"KCNF1","Potassium voltage-gated channel subfamily F member 1","KCNF1","Q9H3M0"
"X5723.4",492,0.261242958461409,0.261242958461409,0.976134566466934,TRUE,0.75,2837,"INSL3","Insulin-like 3","INSL3","P51460"
"X23607.1",491,0.261075234805415,0.261075234805415,0.877702922495341,TRUE,0.75,2838,"C16orf71","Uncharacterized protein C16orf71","CP071","Q8IYS4"
"X6909.40",482,0.260534344432783,0.260534344432783,0.952079610937106,TRUE,0.75,2839,"MGAT2","Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase","MGAT2","Q10469"
"X21357.12",489,0.260236841586711,0.260236841586711,0.952809633778054,TRUE,0.75,2840,"FBLIM1","Filamin-binding LIM protein 1","FBLI1","Q8WUP2"
"X8767.44",491,0.259916622118102,0.259916622118102,1.07227513683907,TRUE,0.75,2841,"ECE1","Endothelin-converting enzyme 1:Cytoplasmic domain","Endothelin-converting enzyme 1:CD","P42892"
"X11289.31",494,0.259814516077253,0.259814516077253,0.953739078869398,TRUE,0.75,2842,"CSNK1D","Casein kinase I isoform delta","KC1D","P48730"
"X6364.7",495,0.259537414459828,0.259537414459828,0.89697594737369,TRUE,0.75,2843,"TAPBPL","Tapasin-related protein","TPSNR","Q9BX59"
"X6580.29",494,0.259257460068486,0.259257460068486,0.9593848931883,TRUE,0.75,2844,"PZP","Pregnancy zone protein","Pregnancy zone protein","P20742"
"X19120.33",486,0.258845650011131,0.258845650011131,1.01370345737527,TRUE,0.75,2845,"DAO","D-amino-acid oxidase","OXDA","P14920"
"X8306.54",488,0.258519325916709,0.258519325916709,1.096544820992,TRUE,0.75,2846,"PRRG1","Transmembrane gamma-carboxyglutamic acid protein 1:Cytoplasmic domain","TMG1:CD","O14668"
"X21133.33",495,0.258307351653604,0.258307351653604,0.940096345515877,TRUE,0.75,2847,"CMC4","Cx9C motif-containing protein 4","CMC4","P56277"
