"gene","rho_median","rho_mean","n_proteins"
"MPO",-0.180025382133302,-0.180025382133302,1
"MPZ",0.359064581234096,0.359064581234096,1
"MPZL1",0.545258782676445,0.545258782676445,1
"MPZL2",-0.189444001172191,-0.189444001172191,1
"MRAP",-0.15006610102932,-0.15006610102932,1
"MRC2",0.398545763629903,0.398545763629903,1
"MRTO4",-0.224400928100013,-0.224400928100013,1
"MSN",-0.10144447983403,-0.10144447983403,1
"MSR1",0.321940934731496,0.321940934731496,2
"MST1R",-0.0982622830824017,-0.0982622830824017,1
"MSTN",0.160749418113257,0.160749418113257,1
"MTCP1",0.178831723118973,0.178831723118973,1
"MUC1",0.210150641712076,0.210150641712076,2
"MUTYH",0.105137560860967,0.105137560860967,1
"MVD",-0.142394575381893,-0.142394575381893,1
"MXI1",-0.0996201671290148,-0.0996201671290148,1
"MXRA8",0.248056546335619,0.248056546335619,1
"MYB",-0.142198716204721,-0.142198716204721,1
"MYL12A",0.149462825314539,0.149462825314539,1
"MYL4",0.303681508005715,0.303681508005715,1
"MYL9",0.261846332982077,0.261846332982077,1
"MYSM1",0.244135464973236,0.244135464973236,1
"MZF1",-0.155020578062385,-0.155020578062385,1
"NAALAD2",0.172564169112554,0.172564169112554,1
"NACA",-0.24787985385622,-0.24787985385622,1
"NAMPT",-0.209398283670609,-0.209398283670609,1
"NANOG",-0.116463598249132,-0.116463598249132,1
"NAP1L1",-0.282117506624661,-0.282117506624661,1
"NBR1",0.247180975451168,0.247180975451168,1
"NCAM1",0.4346967847618,0.4346967847618,2
"NCAN",0.508933070332609,0.508933070332609,1
"NCBP1",0.200671577984197,0.200671577984197,1
"NCF2",-0.225607013557483,-0.225607013557483,1
"NCK2",0.486764277897119,0.486764277897119,1
"NCKIPSD",0.555054114812577,0.555054114812577,1
"NCL",-0.285042200894433,-0.285042200894433,1
"NCR1",0.163874488475869,0.163874488475869,1
"NCR2",-0.0995713128382439,-0.0995713128382439,1
"NDC80",0.157055261019529,0.157055261019529,1
"NDE1",0.141299739358848,0.141299739358848,1
"NDEL1",-0.388184017631416,-0.388184017631416,1
"NDP",0.12569881575482,0.12569881575482,1
"NDRG1",0.398173422949195,0.398173422949195,1
"NDUFV2",0.523459973890031,0.523459973890031,1
"NECTIN1",0.185218543416025,0.185218543416025,2
"NECTIN2",0.392944219136898,0.392944219136898,1
"NEFH",0.438895174648844,0.438895174648844,1
"NEFL",0.38696790026742,0.38696790026742,1
"NEGR1",0.399277255030622,0.399277255030622,2
"NEIL2",-0.109219196384337,-0.109219196384337,1
"NELFA",0.416105944187707,0.416105944187707,1
"NELFE",-0.266219725981471,-0.266219725981471,1
"NELL2",0.134905845391571,0.134905845391571,1
"NEO1",0.546406766582003,0.546406766582003,1
"NETO2",0.419578396045734,0.419578396045734,1
"NEU1",-0.121751431227436,-0.121751431227436,2
"NEURL1",0.148031960983179,0.148031960983179,1
"NFASC",0.463138591724218,0.463138591724218,1
"NFE2L1",-0.302287227275587,-0.302287227275587,1
"NFE2L2",0.103045487801706,0.103045487801706,1
"NFIA",0.250332862209853,0.250332862209853,1
"NFKB1",-0.349877768848141,-0.349877768848141,1
"NFKBIB",-0.121673969613917,-0.121673969613917,1
"NGF",0.222876823405145,0.222876823405145,1
"NHEJ1",-0.145592482126541,-0.145592482126541,1
"NKD2",0.203766079970054,0.203766079970054,1
"NLGN1",0.485905374521576,0.490950809921546,3
"NLGN2",0.44500876546635,0.44500876546635,2
"NLGN3",0.217913250121375,0.217913250121375,2
"NLGN4X",0.329203096961345,0.329203096961345,1
"NLGN4Y",0.246805541518661,0.246805541518661,1
"NME1",0.288143605769513,0.288143605769513,1
"NMI",-0.103262693604061,-0.103262693604061,1
"NMT1",-0.271248482794374,-0.271248482794374,1
"NODAL",-0.106516022887491,-0.106516022887491,1
"NOG",0.394032264956472,0.394032264956472,2
"NONO",-0.203626936106421,-0.203626936106421,1
"NOS3",-0.128927614714476,-0.128927614714476,1
"NOTCH1",0.500976150143294,0.500976150143294,1
"NOTCH2",0.47591862197593,0.47591862197593,1
"NOTCH3",0.464791157795378,0.464791157795378,1
"NPLOC4",0.426188165837131,0.426188165837131,1
"NPM1",-0.152739179376821,-0.152739179376821,2
"NPTN",0.584924737417798,0.584924737417798,1
"NPTX1",0.229113220835237,0.229113220835237,1
"NPTX2",0.35282338758455,0.35282338758455,1
"NPTXR",0.311029189883211,0.311029189883211,2
"NQO2",0.306196578104472,0.306196578104472,1
"NR1H4",0.244950359968044,0.244950359968044,1
"NR3C1",-0.119621451297345,-0.119621451297345,1
"NR3C2",0.25147729786015,0.25147729786015,1
"NRAS",-0.217461828454076,-0.217461828454076,1
"NRCAM",0.347353248616549,0.347353248616549,1
"NRG1",0.283842505693471,0.283842505693471,1
"NRG2",0.16016824412758,0.16016824412758,1
"NRG3",0.564871630545702,0.564871630545702,2
"NRG4",0.251668572571216,0.251668572571216,1
"NRGN",0.838740246401202,0.838740246401202,1
"NRP1",0.442445170405415,0.442445170405415,2
"NRP2",0.440324208485891,0.440324208485891,2
"NRXN1",0.588142273914771,0.519263644135039,3
"NRXN3",0.317457586998104,0.317457586998104,2
"NSF",0.220232575327357,0.220232575327357,1
"NT5E",0.12090471892517,0.12090471892517,1
"NTF4",-0.257059314142237,-0.257059314142237,1
"NTM",0.48819090643226,0.48819090643226,2
"NTN1",0.29669713405853,0.29669713405853,2
"NTN4",0.3131685042426,0.3131685042426,1
"NTNG1",0.35872827841006,0.35872827841006,1
"NTRK1",-0.429489966495587,-0.429489966495587,1
"NTRK2",0.51069786129863,0.51069786129863,1
"NTRK3",0.5669672460467,0.5669672460467,1
"NUB1",-0.132969669889058,-0.132969669889058,1
"NUCB2",0.334151188513251,0.334151188513251,1
"NUDC",0.56474094763535,0.56474094763535,1
"NUDT1",0.17088111819367,0.17088111819367,1
"NUDT3",0.677570806992985,0.677570806992985,1
"NUMB",-0.151658626578953,-0.151658626578953,1
"NUP98",-0.326669269164605,-0.326669269164605,1
"NXPH1",0.231741475174327,0.231741475174327,2
"NXPH2",0.546237231042859,0.546237231042859,1
"NXPH3",-0.214435092981603,-0.214435092981603,1
"OCLN",-0.165965521286199,-0.165965521286199,1
"ODC1",-0.243545565127593,-0.243545565127593,1
"OGFR",0.096868258644707,0.096868258644707,1
"OLFM2",0.291952138555598,0.291952138555598,2
"OLR1",0.618070969617968,0.618070969617968,2
"OMG",0.148263254104148,0.148263254104148,1
"OPCML",0.56554243843291,0.56554243843291,1
"OSCAR",0.0262792971839846,0.0262792971839846,2
"OSM",-0.134836684812107,-0.134836684812107,1
"OSMR",0.188436169335423,0.188436169335423,1
"OSTF1",-0.274951192408596,-0.274951192408596,1
"OSTN",-0.142190173700039,-0.142190173700039,1
"OTUD7B",0.103737079972801,0.103737079972801,1
"OTULIN",0.452435579832926,0.452435579832926,1
"OXT",0.172766290592013,0.172766290592013,1
"P2RX6",-0.124572442790299,-0.124572442790299,1
"P4HA2",0.409248504058952,0.409248504058952,1
"P4HB",0.230468476064152,0.230468476064152,1
"PACSIN1",-0.104941169842971,-0.104941169842971,1
"PAIP1",0.169464255382508,0.169464255382508,1
"PAK4",-0.183383314475577,-0.183383314475577,1
"PAK5",-0.119750081215226,-0.119750081215226,1
"PAK6",0.350452725397391,0.350452725397391,1
"PALM",0.527517337116725,0.527517337116725,1
"PAM",0.318013720740024,0.318013720740024,1
"PAPOLG",-0.130003079075228,-0.130003079075228,1
"PARK7",0.57870234581101,0.57870234581101,1
"PARVA",0.351919866584477,0.351919866584477,1
"PAX8",-0.129588213406996,-0.129588213406996,1
"PBK",0.197717128332556,0.197717128332556,1
"PBRM1",-0.370205228416989,-0.370205228416989,1
"PCBP1",0.251347193846905,0.251347193846905,1
"PCDH1",0.474528527835092,0.474528527835092,1
"PCK1",-0.262822640045527,-0.262822640045527,1
"PCNA",-0.0985125239847627,-0.0985125239847627,1
"PCSK2",0.27103349204745,0.27103349204745,2
"PCSK7",0.256305784758284,0.256305784758284,1
"PCSK9",0.275952864384831,0.275952864384831,2
"PDAP1",-0.272741075048358,-0.272741075048358,1
"PDCD5",0.748768554665415,0.748768554665415,1
"PDCD6IP",0.12005429444619,0.12005429444619,1
"PDE1B",0.76355984607778,0.76355984607778,1
"PDE9A",0.282499477599459,0.282499477599459,1
"PDGFA",-0.231491422643143,-0.231491422643143,1
"PDGFB",-0.0980356142528458,-0.0980356142528458,1
"PDGFC",0.269488752898292,0.269488752898292,1
"PDGFD",-0.135706115687216,-0.135706115687216,1
"PDGFRA",0.367791600083096,0.367791600083096,1
"PDGFRB",0.148031094608971,0.148031094608971,1
"PDHA2",0.247328869234932,0.247328869234932,1
"PDIA3",0.468496129821848,0.468496129821848,2
"PDIA4",0.293660749104177,0.301370154361477,3
"PDIA6",0.541063813694494,0.541063813694494,1
"PDLIM1",-0.128862390844835,-0.128862390844835,1
"PDLIM4",0.480331676773788,0.480331676773788,1
"PDP1",-0.11844557822529,-0.11844557822529,1
"PDPK1",-0.385562629343826,-0.385562629343826,1
"PDXP",0.601177732852142,0.601177732852142,1
"PEA15",0.480297159860302,0.480297159860302,1
"PEAR1",0.224940008240267,0.224940008240267,2
"PEBP1",0.790849869244503,0.790849869244503,1
"PECAM1",-0.32963983247927,-0.32963983247927,1
"PELI1",-0.324220526638127,-0.324220526638127,1
"PENK",0.217271556609787,0.217271556609787,1
"PFKFB3",-0.157968439742373,-0.157968439742373,1
"PFKM",0.321437915868071,0.321437915868071,1
"PFN1",0.410567217201768,0.410567217201768,1
"PGAM1",0.501426983561585,0.501426983561585,1
"PGAM2",0.561009292232553,0.561009292232553,1
"PGD",0.119181123947225,0.119181123947225,1
"PGF",-0.106089736287272,-0.106089736287272,1
"PGK1",0.413611111020992,0.413611111020992,1
"PGLYRP1",-0.06379990679662,-0.06379990679662,2
"PGR",0.267429458383865,0.267429458383865,1
"PHB2",-0.144200393493076,-0.144200393493076,1
"PHF3",-0.408534201115947,-0.408534201115947,1
"PHGDH",0.293518666273384,0.293518666273384,1
"PHKA1",-0.250964402444969,-0.250964402444969,1
"PHYHIP",0.174072424203184,0.174072424203184,1
"PIGR",0.33458364734782,0.33458364734782,1
"PIK3C2A",0.191614756678517,0.191614756678517,1
"PIK3C3",-0.335513742366114,-0.335513742366114,1
"PIK3R1",-0.397284725145117,-0.397284725145117,1
"PIN1",0.772695172513684,0.772695172513684,1
"PIP4K2A",-0.167126260086708,-0.167126260086708,1
"PIP4K2B",-0.323028278764995,-0.323028278764995,2
"PKD2",0.0929486972436285,0.0929486972436285,2
