"EntrezGeneSymbol","rho_median","rho_mean","n_proteins","best_protein","Category1","Category2"
"ASAH2",0.144714140717315,0.144714140717315,1,"ASAH2","Others",NA
"ASAP2",0.11673891361524,0.11673891361524,1,"ASAP2","Others",NA
"ASAP3",0.107855557881706,0.107855557881706,1,"ASAP3","Others",NA
"ASB13",0.109469467229449,0.109469467229449,1,"ASB13","Others",NA
"ASB9",0.364402204535905,0.364402204535905,1,"ASB9","Others",NA
"ASCC1",0.152178250303006,0.152178250303006,1,"ASCC1","Others",NA
"ASGR1",-0.210188355121602,-0.210188355121602,1,"ASGR1","Others",NA
"ASGR2",0.232897893606092,0.232897893606092,1,"ASGR2","Others",NA
"ASL",0.183364812847687,0.183364812847687,1,"ASL","Others",NA
"ASPA",0.175557459705358,0.175557459705358,1,"ASPA","Others",NA
"ASPH",0.252614903337213,0.252614903337213,1,"ASPH","Others",NA
"ASPN",0.196923821632117,0.196923821632117,1,"ASPN","Others",NA
"ASRGL1",0.1573003493935,0.1573003493935,1,"ASRGL1","Others",NA
"ATAD1",-0.13664259387287,-0.13664259387287,1,"ATAD1","Others",NA
"ATE1",-0.166644670854962,-0.166644670854962,1,"ATE1","Others",NA
"ATF1",-0.0898335118175917,-0.0898335118175917,1,"ATF1","Others",NA
"ATF5",0.0928489120060347,0.0928489120060347,1,"ATF5","Others",NA
"ATF6",0.237909873237699,0.237909873237699,1,"ATF6","Others",NA
"ATF6B",0.281622647969064,0.281622647969064,1,"ATF6B","Others",NA
"ATG3",-0.234418855334374,-0.234418855334374,1,"ATG3","Others",NA
"ATG4A",-0.102113281323231,-0.102113281323231,1,"ATG4A","Others",NA
"ATG5",-0.185603259289964,-0.185603259289964,1,"ATG5","Others",NA
"ATG7",-0.191829099704304,-0.191829099704304,1,"ATG7","Others",NA
"ATOX1",0.399608736184677,0.399608736184677,1,"ATOX1","Others",NA
"ATP13A1",0.158537020868371,0.158537020868371,1,"ATP13A1","Others",NA
"ATP1B1",0.276939501151267,0.276939501151267,1,"ATP1B1","Others",NA
"ATP1B2",0.214024646708407,0.214024646708407,1,"ATP1B2","Others",NA
"ATP23",0.119948614306279,0.119948614306279,1,"ATP23","Others",NA
"ATP5PF",0.222581676086265,0.222581676086265,1,"ATP5PF","Others",NA
"ATP5PO",-0.150667618953987,-0.150667618953987,1,"ATP5PO","Others",NA
"ATP6V1C1",-0.107649796165337,-0.107649796165337,1,"ATP6V1C1","Others",NA
"ATP6V1F",0.375255437059061,0.375255437059061,1,"ATP6V1F","Others",NA
"ATXN10",-0.119325531355928,-0.119325531355928,1,"ATXN10","Others",NA
"ATXN3",0.330161860007893,0.330161860007893,1,"ATXN3","Others",NA
"AUH",0.126492603720592,0.126492603720592,1,"AUH","Others",NA
"AXIN2",-0.137439747608099,-0.137439747608099,1,"AXIN2.12925.105","Others",NA
"AZIN1",-0.192213658345523,-0.192213658345523,1,"AZIN1","Others",NA
"AZU1",-0.18061641675472,-0.18061641675472,1,"AZU1.2751.16","Others",NA
"B2M",-0.156150597676021,-0.156150597676021,1,"B2M.3485.28","Others",NA
"B3GALT2",0.320012416173343,0.320012416173343,1,"B3GALT2","Others",NA
"B3GALT5",0.201231423910825,0.201231423910825,1,"B3GALT5","Others",NA
"B3GALT6",0.202083353761635,0.202083353761635,1,"B3GALT6","Others",NA
"B3GAT1",0.217772023351244,0.217772023351244,1,"B3GAT1","Others",NA
"B3GAT3",0.18986668019801,0.18986668019801,1,"B3GAT3","Others",NA
"B3GLCT",-0.147503534214788,-0.147503534214788,1,"B3GLCT","Others",NA
"B3GNT2",0.233209681973324,0.233209681973324,1,"B3GNT2","Others",NA
"B3GNT6",-0.089891326154178,-0.089891326154178,1,"B3GNT6","Others",NA
"B3GNT8",0.122582262393838,0.122582262393838,1,"B3GNT8","Others",NA
"B4GALNT1",0.267241611641743,0.267241611641743,1,"B4GALNT1","Others",NA
"B4GALT1",0.217364946743604,0.217364946743604,1,"B4GALT1","Others",NA
"B4GALT2",0.239885275992841,0.239885275992841,1,"B4GALT2","Others",NA
"B4GALT6",0.286520880206342,0.286520880206342,1,"B4GALT6","Others",NA
"B4GALT7",0.135910840038732,0.135910840038732,1,"B4GALT7","Others",NA
"B9D2",0.139259124804772,0.139259124804772,1,"B9D2","Others",NA
"BACH2",0.095828564856119,0.095828564856119,1,"BACH2","Others",NA
"BAD",-0.151328713073791,-0.151328713073791,1,"BAD","Others",NA
"BAG2",0.214631010558169,0.214631010558169,1,"BAG2","Tau Folding/Stability",NA
"BAG6",0.476460627782258,0.476460627782258,1,"BAG6","Others",NA
"BAGE2",0.114394981401829,0.114394981401829,1,"BAGE2","Others",NA
"BAGE3",0.140877882803577,0.140877882803577,1,"BAGE3","Others",NA
"BAMBI",0.20808844530813,0.20808844530813,2,"BAMBI.8811.24","Others",NA
"BASP1",0.477140856239245,0.477140856239245,1,"BASP1","Others",NA
"BCAM",0.272696052280721,0.272696052280721,1,"BCAM","Others",NA
