"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Module","Source","Module_Size","tau_related"
"GO:0051963","regulation of synapse assembly","35/79","181/18860",0.193370165745856,46.1640674173019,39.5976162935669,1.69197855585457e-50,1.30514967626769e-47,9.0379161792672e-48,"PTPRD/IL1RAP/NTRK3/NLGN1/NLGN4X/NLGN2/GPC4/PTPRS/NRXN1/NLGN3/LRFN4/LRFN5/LRRC4B/LRFN3/RTN4RL1/RTN4R/ADGRB1/SLITRK4/IL1RAPL1/LRRTM1/LRRTM2/LRRTM4/SLITRK1/SLITRK2/SLITRK3/SLITRK5/SLITRK6/CBLN1/CBLN2/GRID2/ADGRB2/ADGRB3/MDGA1/CLSTN1/CLSTN2",35,8,"GO_BP",79,TRUE
"GO:0007416","synapse assembly","39/79","284/18860",0.137323943661972,32.7839187020859,35.0029001870932,1.86449953752526e-50,1.30514967626769e-47,9.0379161792672e-48,"PTPRD/IL1RAP/NTRK3/NLGN1/NLGN4X/NLGN2/GPC4/PTPRS/NRXN1/KIRREL3/NLGN3/NLGN4Y/LRFN4/LRFN5/LRRC4B/LRFN3/RTN4RL1/RTN4R/ADGRB1/C1QL2/C1QL3/SLITRK4/IL1RAPL1/LRRTM1/LRRTM2/LRRTM4/SLITRK1/SLITRK2/SLITRK3/SLITRK5/SLITRK6/CBLN1/CBLN2/GRID2/ADGRB2/ADGRB3/MDGA1/CLSTN1/CLSTN2",39,8,"GO_BP",79,TRUE
"GO:0050807","regulation of synapse organization","40/79","322/18860",0.124223602484472,29.6564195298372,33.6381376274262,4.93661349946727e-50,2.30375296641806e-47,1.59530562561732e-47,"PTPRD/IL1RAP/NTRK3/NLGN1/DAG1/NLGN4X/NLGN2/GPC4/PTPRS/NRXN1/NLGN3/LRFN4/LRFN5/LRRC4B/LRFN2/LRFN3/RTN4RL1/RTN4R/ADGRB1/C1QL1/C1QL2/C1QL3/SLITRK4/IL1RAPL1/LRRTM1/LRRTM2/LRRTM4/SLITRK1/SLITRK2/SLITRK3/SLITRK5/SLITRK6/CBLN1/CBLN2/GRID2/ADGRB2/ADGRB3/MDGA1/CLSTN1/CLSTN2",40,8,"GO_BP",79,TRUE
"GO:0050803","regulation of synapse structure or activity","40/79","329/18860",0.121580547112462,29.0254318802662,33.2593957231891,1.21664724563534e-49,4.25826535972371e-47,2.94876871902672e-47,"PTPRD/IL1RAP/NTRK3/NLGN1/DAG1/NLGN4X/NLGN2/GPC4/PTPRS/NRXN1/NLGN3/LRFN4/LRFN5/LRRC4B/LRFN2/LRFN3/RTN4RL1/RTN4R/ADGRB1/C1QL1/C1QL2/C1QL3/SLITRK4/IL1RAPL1/LRRTM1/LRRTM2/LRRTM4/SLITRK1/SLITRK2/SLITRK3/SLITRK5/SLITRK6/CBLN1/CBLN2/GRID2/ADGRB2/ADGRB3/MDGA1/CLSTN1/CLSTN2",40,8,"GO_BP",79,TRUE
"GO:0051965","positive regulation of synapse assembly","27/79","72/18860",0.375,89.5253164556962,48.8097945853576,1.71195783532529e-47,4.79348193891081e-45,3.31939613965177e-45,"PTPRD/IL1RAP/NTRK3/NLGN1/NLGN2/NRXN1/NLGN3/LRRC4B/RTN4RL1/ADGRB1/SLITRK4/IL1RAPL1/LRRTM1/LRRTM2/LRRTM4/SLITRK1/SLITRK2/SLITRK3/SLITRK5/SLITRK6/CBLN1/CBLN2/GRID2/ADGRB2/ADGRB3/CLSTN1/CLSTN2",27,8,"GO_BP",79,TRUE
"GO:1901888","regulation of cell junction assembly","36/79","285/18860",0.126315789473684,30.1558960692871,32.1660647466322,6.67879975323885e-45,1.55838660908907e-42,1.0791534338128e-42,"PTPRD/IL1RAP/IL1B/NTRK3/NLGN1/NLGN4X/NLGN2/GPC4/PTPRS/NRXN1/NLGN3/LRFN4/LRFN5/LRRC4B/LRFN3/RTN4RL1/RTN4R/ADGRB1/SLITRK4/IL1RAPL1/LRRTM1/LRRTM2/LRRTM4/SLITRK1/SLITRK2/SLITRK3/SLITRK5/SLITRK6/CBLN1/CBLN2/GRID2/ADGRB2/ADGRB3/MDGA1/CLSTN1/CLSTN2",36,8,"GO_BP",79,FALSE
"GO:1901890","positive regulation of cell junction assembly","27/79","120/18860",0.225,53.7151898734177,37.5712050232194,1.70096416242777e-40,3.40192832485554e-38,2.35577141894132e-38,"PTPRD/IL1RAP/NTRK3/NLGN1/NLGN2/NRXN1/NLGN3/LRRC4B/RTN4RL1/ADGRB1/SLITRK4/IL1RAPL1/LRRTM1/LRRTM2/LRRTM4/SLITRK1/SLITRK2/SLITRK3/SLITRK5/SLITRK6/CBLN1/CBLN2/GRID2/ADGRB2/ADGRB3/CLSTN1/CLSTN2",27,8,"GO_BP",79,FALSE
"GO:0099054","presynapse assembly","21/79","46/18860",0.456521739130435,108.987341772152,47.5581241444139,4.06010032768745e-39,7.10517557345304e-37,4.9202005286844e-37,"PTPRD/IL1RAP/NTRK3/NLGN1/NLGN4X/NLGN2/GPC4/NRXN1/NLGN3/NLGN4Y/LRFN4/LRFN5/LRRC4B/LRFN3/IL1RAPL1/SLITRK1/SLITRK2/SLITRK3/CBLN1/GRID2/MDGA1",21,8,"GO_BP",79,TRUE
"GO:0099172","presynapse organization","21/79","57/18860",0.368421052631579,87.9546968687542,42.641298361484,1.20709764111326e-36,1.87770744173174e-34,1.30027710814657e-34,"PTPRD/IL1RAP/NTRK3/NLGN1/NLGN4X/NLGN2/GPC4/NRXN1/NLGN3/NLGN4Y/LRFN4/LRFN5/LRRC4B/LRFN3/IL1RAPL1/SLITRK1/SLITRK2/SLITRK3/CBLN1/GRID2/MDGA1",21,8,"GO_BP",79,TRUE
"GO:0051962","positive regulation of nervous system development","29/79","291/18860",0.0996563573883162,23.7913784853626,25.4118538680078,1.18178456841716e-32,1.65449839578402e-30,1.14570903948653e-30,"PTPRD/IL1RAP/IL1B/NTRK3/NLGN1/DAG1/NLGN2/NRXN1/NLGN3/LRRC4B/RTN4RL1/ADGRB1/SLITRK4/IL1RAPL1/LRRTM1/LRRTM2/LRRTM4/SLITRK1/SLITRK2/SLITRK3/SLITRK5/SLITRK6/CBLN1/CBLN2/GRID2/ADGRB2/ADGRB3/CLSTN1/CLSTN2",29,8,"GO_BP",79,FALSE
