"Rank","Gene","PTAU_rho","Mean_Rho","Degree","Functional_Category","MAPT_Interactor","N_Proteins","Priority_Score"
773,"CDCP1",0.152018334845737,0.152018334845737,4,"Others",FALSE,2,0.244664071485831
774,"BLVRA",0.125724065096255,0.125724065096255,6,"Others",FALSE,1,0.244647734251293
775,"CUL3",-0.124811968724136,-0.124811968724136,6,"Others",FALSE,1,0.24287287666387
776,"BRD2",-0.221054927761547,-0.221054927761547,2,"Others",FALSE,1,0.242853660109477
777,"MASP1",-0.220705957795434,-0.220705957795434,2,"Others",FALSE,1,0.242470277416329
778,"TNFSF8",0.349535524916445,0.349535524916445,1,"Others",FALSE,1,0.242279563601374
779,"BMP15",-0.135176667332371,-0.135176667332371,5,"Others",FALSE,1,0.242204073711467
780,"KIR3DL1",0.150069743158824,0.150069743158824,4,"Others",FALSE,1,0.241527934149059
781,"CLSTN1",0.149803949973442,0.149803949973442,4,"Others",FALSE,1,0.241100156519638
782,"CNN1",0.21938902905872,0.21938902905872,2,"Others",FALSE,1,0.241023483322874
783,"STIM1",0.173757243047713,0.173757243047713,3,"Others",FALSE,1,0.240878686240783
784,"IL20RB",0.219223097418916,0.219223097418916,2,"Others",FALSE,1,0.240841188784307
785,"CTNNA2",0.173670124545186,0.173670124545186,3,"Others",FALSE,1,0.24075791435198
786,"CLEC2D",-0.218901046641655,-0.218901046641655,2,"Others",FALSE,1,0.240487379842833
787,"PGK1",0.266632011269707,0.266632011269707,1,"Metabolism",FALSE,1,0.240259794916212
788,"KMT2D",-0.218515877701759,-0.218515877701759,2,"Others",FALSE,1,0.24006422851225
789,"HDAC2",-0.148801389684603,-0.148801389684603,4,"Others",FALSE,1,0.239486597981281
790,"FGF16",-0.148622881353369,-0.148622881353369,4,"Others",FALSE,2,0.239199299905307
791,"RBFOX2",0.344238762679863,0.344238762679863,1,"Others",FALSE,1,0.238608127790991
792,"HHIP",0.217122419216142,0.217122419216142,2,"Others",FALSE,1,0.238533357896203
793,"NACA",-0.148119492224323,-0.148119492224323,4,"Others",FALSE,1,0.238389126356314
794,"POSTN",0.171933282988951,0.171933282988951,3,"Others",FALSE,2,0.238350140696414
795,"PBK",0.103422415737947,0.103422415737947,9,"Others",FALSE,1,0.238138912759629
796,"RND1",0.3434771480348,0.3434771480348,1,"Others",FALSE,1,0.238080216747093
797,"AIP",-0.216394611424727,-0.216394611424727,2,"Others",FALSE,1,0.237733779312766
798,"CRLF2",-0.216205700810252,-0.216205700810252,2,"Others",FALSE,1,0.237526239790243
799,"ARRB1",0.0925607210451743,0.0925607210451743,12,"Others",FALSE,1,0.237413561970996
800,"TENM4",0.341343438689107,0.341343438689107,1,"Others",FALSE,1,0.236601242129991
801,"SLITRK2",0.146978929581852,0.146978929581852,4,"Others",FALSE,1,0.236553461598015
802,"CHFR",0.170592011373658,0.170592011373658,3,"Others",FALSE,1,0.236490743419402
803,"MAG",0.0981560034795197,0.0981560034795197,10,"Others",FALSE,1,0.235367816740321
804,"THBS2",0.12075647515766,0.12075647515766,6,"Others",FALSE,1,0.234981250573437
805,"FHOD1",-0.169488709174673,-0.169488709174673,3,"Others",FALSE,1,0.234961241802338
806,"CEP43",-0.145779110167281,-0.145779110167281,4,"Others",FALSE,1,0.23462242674413
807,"EIF2B1",-0.213505771354208,-0.213505771354208,2,"Others",FALSE,1,0.234560064111297
808,"COL1A1",0.101821664562794,0.101821664562794,9,"Others",FALSE,1,0.23445304696613
809,"CACNB4",0.213350063874221,0.213350063874221,2,"Others",FALSE,1,0.234389001960345
810,"IGBP1",0.337640604146678,0.337640604146678,1,"Others",FALSE,1,0.234034632806826
811,"SERPINB1",0.336928393741337,0.336928393741337,1,"Others",FALSE,1,0.233540966172399
812,"KLRB1",-0.144891669779686,-0.144891669779686,4,"Others",FALSE,1,0.233194146539309
813,"MPIG6B",0.106113081489932,0.106113081489932,8,"Others",FALSE,1,0.233154270626559
814,"HSPB6",0.212216339666829,0.212216339666829,2,"Others",FALSE,1,0.233143478614144
815,"DKK3",0.211971866752285,0.211971866752285,2,"Others",FALSE,2,0.232874897665979
816,"KLRK1",-0.119543855397751,-0.119543855397751,6,"Others",FALSE,1,0.232621601475684
817,"PCK1",-0.167700446399335,-0.167700446399335,3,"Others",FALSE,1,0.232482183200686
818,"HMGB2",-0.211585930247657,-0.211585930247657,2,"Others",FALSE,2,0.23245090307935
819,"FABP3",0.335307274125523,0.335307274125523,1,"Others",FALSE,2,0.232417291681347
820,"MAD2L1",0.21100483814843,0.21100483814843,2,"Others",FALSE,1,0.231812508158291
821,"TEC",-0.10539190318494,-0.10539190318494,8,"Others",FALSE,1,0.231569679930189
822,"RNF8",0.210377189481859,0.210377189481859,2,"Others",FALSE,1,0.23112296562023
823,"CAPN3",-0.140189331719202,-0.140189331719202,2,"Others",TRUE,1,0.231020583850327
824,"NELFE",-0.21027261609061,-0.21027261609061,2,"Others",FALSE,1,0.231008080007536
825,"RRM2B",0.210261024504932,0.210261024504932,2,"Others",FALSE,1,0.230995345349065
