"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-9927426","Developmental Lineage of Mammary Gland Alveolar Cells","8/2324","11/4190",0.727272727272727,1.31121890158035,1.1533033271426,0.199438410436087,0.47659611895964,0.395630400734854,"PRL/MUC1/PGR/ITGA6/KIT/MFGE8/KRT18/ALDH1A3",8
"R-HSA-72172","mRNA Splicing","48/2324","79/4190",0.607594936708861,1.09544870258611,0.955712484147235,0.200422777690596,0.477962961611936,0.396765039656064,"DHX9/PUF60/PCBP1/SRSF6/DHX8/PPIH/SNRPA/HNRNPM/RNPC3/SAP18/RBM22/HNRNPR/U2AF2/HNRNPH1/LSM4/MAGOHB/SNRPB2/RBM17/SNRPD3/SMNDC1/PPIG/POLR2K/SNRPG/SYF2/POLR2I/BUD31/POLR2E/POLR2F/GTF2F2/SNRNP25/UBL5/SF3B6/SNRPE/SNRPA1/PPIL3/SNIP1/TXNL4A/NCBP1/PRPF18/SRRT/PRPF19/RBM39/EIF4A3/SNRPF/MFAP1/HSPA8/PRPF6/PPIL1",48
"R-HSA-9758941","Gastrulation","30/2324","48/4190",0.625,1.12682874354561,0.986167495255225,0.20095380273818,0.478245292348152,0.396999407117035,"PSMB6/SMAD4/PSMA7/TEAD4/PSMB5/PSMB1/FOXC2/PSMA4/BMP4/EPHA4/PSMB3/PSMB4/PSMA5/PSMB2/KAT2A/IHH/PSMC3/PSMD6/FGF8/YAP1/PSMC5/FGF2/PSMA1/PSMD7/PSMA2/NOTCH1/DLL1/FGFR1/NOG/CTNNB1",30
"R-HSA-9013106","RHOC GTPase cycle","20/2324","31/4190",0.645161290322581,1.16317805785353,1.01757298572946,0.202269157084086,0.480389248074705,0.398779140584243,"ARHGAP1/OPHN1/ARHGEF25/RACGAP1/ARHGEF1/ARHGAP5/JUP/MCAM/ABR/ARHGAP26/DIAPH1/PKN2/C1QBP/ARHGDIA/TFRC/VAPB/VAMP3/STOM/PIK3R1/ARHGEF10",20
"R-HSA-418990","Adherens junctions interactions","56/2324","93/4190",0.602150537634409,1.08563285399663,0.931893608726788,0.204657868086212,0.483582870066011,0.401430219554365,"RPN1/PSMB6/CDH15/DNM2/PSMA7/PSMB5/PSMB1/ILF3/PSMA4/H2BC21/AGO3/RBBP4/JUP/CADM2/DDOST/PSMB3/PSMB4/HDAC2/PSMA5/PSMB2/CDH12/NECTIN1/EED/H2BC12/KLF9/PSMC3/PSMD6/CTNNA1/PSMC5/MAPK3/MAPK1/CADM1/CSNK2A1/CDH6/CADM3/CDH2/FYN/PSMA1/PSMD7/PSMA2/PCSK7/RPS27A/RB1/SRC/PRKCSH/UBC/NECTIN2/FURIN/UBB/CDH7/CTSB/PVR/CTNNB1/CDH11/TNRC6B/ARID1A",56
"R-HSA-2404192","Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)","27/2324","43/4190",0.627906976744186,1.13206980746908,0.971377807481891,0.207579845567656,0.483582870066011,0.401430219554365,"NRAS/PTPN11/FRS2/FGFR3/FGF19/FGF16/FLT3LG/AKT2/KL/SHC1/THEM4/GAB1/FGF8/PIK3C3/FGF2/FGF5/FLT3/FGFR2/IGF1R/PDPK1/FGFR4/KRAS/GRB2/FGFR1/CILP/IGF1/PIK3R1",27
"R-HSA-5619115","Disorders of transmembrane transporters","27/2324","43/4190",0.627906976744186,1.13206980746908,0.971377807481891,0.207579845567656,0.483582870066011,0.401430219554365,"PSMB6/PSMA7/PSMB5/PSMB1/NUP98/HK1/PSMA4/SEC13/CP/PSMB3/PSMB4/PSMA5/PSMB2/PSMC3/PSMD6/VCP/PSMC5/BSG/PSMA1/PSMD7/PSMA2/RPS27A/UBC/UBB/CFTR/ERLEC1/SLC3A1",27
"R-HSA-69002","DNA Replication Pre-Initiation","27/2324","43/4190",0.627906976744186,1.13206980746908,0.971377807481891,0.207579845567656,0.483582870066011,0.401430219554365,"PSMB6/POLE2/ANAPC10/ORC6/PSMA7/PSMB5/PSMB1/KPNA6/PSMA4/H2BC21/UBE2E1/PSMB3/PSMB4/PSMA5/PSMB2/RPA2/KPNA1/H2BC12/PSMC3/PSMD6/PSMC5/PSMA1/PSMD7/PSMA2/RPS27A/UBC/UBB",27
"R-HSA-877300","Interferon gamma signaling","27/2324","43/4190",0.627906976744186,1.13206980746908,0.971377807481891,0.207579845567656,0.483582870066011,0.401430219554365,"RAF1/STAT1/JAK2/PTPN11/IRF9/IRF2/GBP1/IRF3/GBP2/IRF4/NCAM1/GBP5/TRIM5/PML/MAPK3/PTPN1/MAPK1/FCGR1A/CAMK2A/CAMK2B/CAMK2D/B2M/PTPN6/ICAM1/IFNGR1/GBP6/IFNGR2",27
"R-HSA-9833110","RSV-host interactions","27/2324","43/4190",0.627906976744186,1.13206980746908,0.971377807481891,0.207579845567656,0.483582870066011,0.401430219554365,"HERC5/MED4/IFNA10/ISG15/IFNA21/IFNA4/AGRN/HSPG2/SDC3/CD14/IRF3/GPC4/MED20/MED28/MED11/CD209/GPC2/TLR2/RPS27A/GPC5/TYK2/GPC6/IFNAR1/UBC/UBB/IFNA14/GPC1",27
