"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis","30/1904","58/3379",0.517241379310345,0.917940452042886,-0.716103775902137,0.802602415895573,0.988279094199772,0.860606675331859,"CD1A/COL1A1/PLCB1/ITGB2/IL10/TGFB1/RAB5C/CD14/RAB5A/RAB5B/FN1/LAMA3/CD1B/SERPINB9/ITGAM/CTSG/IL6/CXCL3/IL1R1/IL1B/CXCL2/TGFB3/TLR2/PRDX1/TGFB2/PRKCB/PRKCG/PIK3R1/LAMC2/NFKB1",30
"Organismal Systems","Endocrine system","hsa04928","Parathyroid hormone synthesis, secretion and action","28/1904","55/3379",0.509090909090909,0.903475935828877,-0.819886473323854,0.83083051981866,0.99993813208004,0.870759521715633,"RAF1/BGLAP/CREB3L4/PLCB1/ATF6B/ARAF/ARRB1/ARHGEF1/TNFSF11/KL/BRAF/JUND/PTH/LRP6/LRP5/EGFR/MAPK3/MAP2K1/PTHLH/MAPK1/BCL2/NACA/MMP14/PRKCB/PRKCG/WNK3/FGFR1/MMP16",28
"Cellular Processes","Transport and catabolism","hsa04148","Efferocytosis","44/1904","85/3379",0.517647058823529,0.918660405338606,-0.862813543941806,0.83494740168639,0.99993813208004,0.870759521715633,"LRP1/HAVCR2/JAK2/PTPN11/ELMO1/TYRO3/ODC1/IL10/TGFB1/RAB14/RAB5C/STAB1/GAS6/RAB5A/RAB5B/MERTK/ADGRB1/PPARG/PECAM1/MAPK3/MAP2K1/CD36/MAPK1/CAMK2A/CAMK2B/STAB2/CAMK2D/THBS1/BSG/MAP2K2/ADAM9/MAPKAPK2/PTPN6/MFGE8/CRK/MAPK11/MAPK13/MAPK14/SCARF1/CALR/ADAM10/ADAM17/SIRPA/CRKL",44
"Genetic Information Processing","Transcription","hsa03022","Basal transcription factors","6/1904","13/3379",0.461538461538462,0.819085326438268,-0.74243031665956,0.846654845541694,0.99993813208004,0.870759521715633,"GTF2I/TAF10/GTF2F2/GTF2E2/TBP/CCNH",6
"Metabolism","Metabolism of cofactors and vitamins","hsa00730","Thiamine metabolism","5/1904","11/3379",0.454545454545455,0.806674942704354,-0.729567926609932,0.849281420711532,0.99993813208004,0.870759521715633,"ALPI/AK2/ALPL/AK4/AK1",5
"Genetic Information Processing","Transcription","hsa03020","RNA polymerase","5/1904","11/3379",0.454545454545455,0.806674942704354,-0.729567926609932,0.849281420711532,0.99993813208004,0.870759521715633,"POLR1C/POLR2K/POLR2I/POLR2E/POLR2F",5
"Organismal Systems","Excretory system","hsa04964","Proximal tubule bicarbonate reclamation","5/1904","11/3379",0.454545454545455,0.806674942704354,-0.729567926609932,0.849281420711532,0.99993813208004,0.870759521715633,"ATP1B1/PCK1/CA4/MDH1/ATP1B2",5
"Human Diseases","Cancer: overview","hsa05207","Chemical carcinogenesis - receptor activation","55/1904","106/3379",0.518867924528302,0.92082705723799,-0.940857826442006,0.85088864587856,0.99993813208004,0.870759521715633,"RAF1/STAT3/NRAS/GSTT2B/CREB3L4/ATF6B/JAK2/RPS6KA1/ARRB1/RPS6KA6/FGF16/KPNA6/TNFSF11/AKT2/AKT1/PGR/STAT5B/PTGES3/KPNA1/STAT5A/KPNA5/GSTA2/FGF8/VEGFA/HSP90AA1/EGFR/MAPK3/MAP2K1/CYP3A4/FGF2/FGF5/MAPK1/DLL4/AKT3/BCL2/RPS6KA3/BIRC5/MAP2K2/AIP/RB1/JAG1/KRAS/DLL1/GRB2/HSP90AB1/PRKCB/PRKCG/SRC/EGF/BAD/HSP90B1/NOTCH2/PIK3R1/UGT2A1/NFKB1",55
"Metabolism","Global and overview maps","hsa01250","Biosynthesis of nucleotide sugars","12/1904","25/3379",0.48,0.851848739495798,-0.844619513015517,0.852367718382277,0.99993813208004,0.870759521715633,"GALK1/HK2/HK1/UAP1/UGP2/GNPNAT1/NANP/GMDS/GNE/MPI/GPI/PGM1",12
"Human Diseases","Endocrine and metabolic disease","hsa04932","Non-alcoholic fatty liver disease","34/1904","67/3379",0.507462686567164,0.900586353944563,-0.93369605505621,0.854930915322945,0.99993813208004,0.870759521715633,"PKLR/TGFB1/AKT2/MAPK10/IL6R/MAPK9/AKT1/CASP8/COX5A/CEBPA/MAP3K11/GSK3B/PPARG/IKBKB/IL6/LEP/TNFRSF1A/CYCS/IL1B/FASLG/AKT3/INSR/MAPK8/IL1A/MAPK11/MAPK13/MAPK14/FAS/BID/NDUFV2/PIK3R1/COX6C/NDUFB8/NFKB1",34
"Environmental Information Processing","Signaling molecules and interaction","hsa04081","Hormone signaling","43/1904","84/3379",0.511904761904762,0.908469637855142,-0.96503796437352,0.859048118921957,0.99993813208004,0.870759521715633,"STAT3/BMPR1B/GNRH2/UCN3/PRL/PLCB1/JAK2/SMAD4/APPL1/PRKG1/RAMP1/GHRH/STAT5B/NPPB/CALCB/PDYN/PTH/STAT5A/NPPC/CALCR/SMAD5/GNG12/LEP/GHR/PTHLH/INSR/AGT/VIP/IGF1R/BMPR1A/SRC/TRH/THPO/SST/GHRL/PRLH/CCK/OXT/IGF1/GH1/PIK3R1/PENK/POMC",43
"Environmental Information Processing","Signaling molecules and interaction","hsa04082","Neuroactive ligand signaling","15/1904","31/3379",0.483870967741935,0.858718487394958,-0.897719673203774,0.859706029346598,0.99993813208004,0.870759521715633,"GRIA4/ACHE/GABBR1/PLCB1/HTR7/GABBR2/PDYN/GRIK2/GRM4/GNG12/AGRP/PRKCB/PRKCG/PENK/POMC",15
"Organismal Systems","Nervous system","hsa04723","Retrograde endocannabinoid signaling","15/1904","31/3379",0.483870967741935,0.858718487394958,-0.897719673203774,0.859706029346598,0.99993813208004,0.870759521715633,"GRIA4/PLCB1/MAPK10/MAPK9/GNG12/MAPK3/MAPK1/MAPK8/MAPK11/MAPK13/MAPK14/PRKCB/PRKCG/NDUFV2/NDUFB8",15
"Metabolism","Metabolism of other amino acids","hsa00480","Glutathione metabolism","19/1904","39/3379",0.487179487179487,0.864590066795949,-0.966221903654097,0.870251187227876,0.99993813208004,0.870759521715633,"GSTT2B/RRM1/GSTK1/GSTP1/ODC1/LANCL1/GSS/SMS/GCLM/IDH1/GSR/G6PD/TXNDC12/GGT5/SRM/GGCT/GSTA2/PRDX6/RRM2B",19
"Cellular Processes","Transport and catabolism","hsa04142","Lysosome biogenesis","48/1904","94/3379",0.51063829787234,0.906222063293402,-1.04752452000862,0.87536032492793,0.99993813208004,0.870759521715633,"AGA/GNPTG/SMPD1/NAGPA/SORT1/GGA3/LAMTOR3/AP1G2/GGA1/AP2A2/CLTC/VPS29/GM2A/HEXB/NAGLU/GUSB/IGF2R/LAMP1/CD68/VPS26A/FUCA1/BLOC1S6/STX17/HYAL4/GALNS/SGSH/AKT1S1/BORCS5/ATP6V1C1/CTSG/AP2B1/AP1B1/OSBP/ATP6V1F/NCOA7/HEXA/IDS/ACP5/LGMN/CTSZ/CTSD/ASAH1/MANBA/DNASE2B/CTSB/CLN5/CD63/CTSO",48
"Metabolism","Metabolism of cofactors and vitamins","hsa00760","Nicotinate and nicotinamide metabolism","10/1904","22/3379",0.454545454545455,0.806674942704354,-1.0334538840932,0.893757061467748,0.99993813208004,0.870759521715633,"NT5C2/NT5C/NUDT12/NT5E/NMNAT1/NMRK2/SIRT6/SIRT2/BST1/NAMPT",10
"Organismal Systems","Circulatory system","hsa04260","Cardiac muscle contraction","12/1904","26/3379",0.461538461538462,0.819085326438268,-1.05198845728844,0.894015948253948,0.99993813208004,0.870759521715633,"CACNB4/ATP1B1/COX5A/CASQ2/MYL4/CACNB3/HRC/ASPH/ATP1B2/TPM4/CACNA2D3/COX6C",12
"Metabolism","Amino acid metabolism","hsa00330","Arginine and proline metabolism","13/1904","28/3379",0.464285714285714,0.823960834333734,-1.06259651643196,0.894644681017122,0.99993813208004,0.870759521715633,"P4HA2/ODC1/CKMT1A/SMS/GOT2/OAT/ALDH7A1/SRM/NOS3/L3HYPDH/CNDP2/AOC1/CNDP1",13
"Metabolism","Global and overview maps","hsa01212","Fatty acid metabolism","8/1904","18/3379",0.444444444444444,0.78874883286648,-1.02086519606797,0.895561925563794,0.99993813208004,0.870759521715633,"ACADS/ACADSB/ACAA1/ACADVL/HSD17B8/CBR4/ACOX1/SCP2",8
"Organismal Systems","Endocrine system","hsa04911","Insulin secretion","15/1904","32/3379",0.46875,0.831883534663866,-1.0854871029429,0.896564327107489,0.99993813208004,0.870759521715633,"CREB3L4/PLCB1/ATF6B/ATP1B1/VAMP2/STX1A/CAMK2A/CAMK2B/CAMK2D/PRKCB/PRKCG/CCK/ATP1B2/ADCYAP1/KCNMB3",15
"Human Diseases","Immune disease","hsa05322","Systemic lupus erythematosus","16/1904","34/3379",0.470588235294118,0.835145823035096,-1.09751038264081,0.897763754444899,0.99993813208004,0.870759521715633,"SSB/IL10/H2BC21/SNRPD3/C1S/H2AC1/H2BC12/H2AC11/CTSG/CD80/C3/C5/C7/FCGR3B/FCGR1A/CD86",16
"Cellular Processes","Cell motility","hsa04814","Motor proteins","18/1904","38/3379",0.473684210526316,0.840640203449801,-1.12227583467516,0.900480561646074,0.99993813208004,0.870759521715633,"DNAI1/DYNLL2/KIF22/KIF3A/DYNLT1/TNNT3/DYNLRB2/MYL12A/MYL6B/MYL6/MYL4/MYL9/KLC3/KIF3C/DYNC1LI1/TNNI2/TPM4/KIF1C",18
"Metabolism","Energy metabolism","hsa00910","Nitrogen metabolism","6/1904","14/3379",0.428571428571429,0.760579231692677,-1.01976614113545,0.900968662022991,0.99993813208004,0.870759521715633,"GLUL/CA12/CA4/CA7/CA13/CA5A",6
