"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Nervous system","hsa04722","Neurotrophin signaling pathway","61/1904","76/3379",0.802631578947368,1.42441812251216,4.25122130593051,8.41695096513454e-06,0.0027775938184944,0.00241876590892814,"RAF1/NRAS/SORT1/FOXO3/SHC4/PTPN11/RPS6KA1/RPS6KA6/MAP3K3/FRS2/YWHAE/AKT2/MAPK10/MAPK9/AKT1/BRAF/SHC1/CAMK4/MAGED1/SH2B3/MAP2K5/GSK3B/BDNF/GAB1/IKBKB/RAPGEF1/NTRK3/MAPK3/MAP2K1/FASLG/MAPK1/CAMK2A/CAMK2B/AKT3/BCL2/CAMK2D/RPS6KA3/NTRK1/MAP2K2/MAPKAPK2/MATK/MAPK8/NTF4/PDPK1/PLCG1/NTRK2/CRK/MAPK11/MAPK13/MAPK14/KRAS/GRB2/NGF/BAD/TP53/ARHGDIA/PIK3R1/RIPK2/ARHGDIB/NFKB1/CRKL",61
"Organismal Systems","Development and regeneration","hsa04360","Axon guidance","95/1904","130/3379",0.730769230769231,1.29688510019392,3.92150259850094,4.47082110975473e-05,0.00737685483109531,0.00642386401559496,"RAF1/ILK/NRAS/BMPR1B/EFNA2/MET/PTPN11/DPYSL5/EFNB1/RND1/NCK2/PAK4/EFNA4/EFNB2/EFNA3/CFL2/UNC5B/EPHB4/PPP3R1/EPHA7/SLIT1/EPHA4/UNC5D/SEMA4A/PLXNB3/EPHB1/PPP3R2/SLIT2/RAC2/MYL12A/PLXNA4/EFNA1/SEMA5B/SEMA6D/SEMA4G/EPHA8/DCC/LRRC4/MYL9/WNT5B/ROBO2/EPHA6/GSK3B/SRGAP2/EFNB3/EFNA5/PRKCZ/MAPK3/BMP7/MAPK1/NRP1/SEMA3A/NTN4/CAMK2A/CAMK2B/CAMK2D/EPHA3/EPHA5/FYN/PAK6/CFL1/L1CAM/BOC/PDPK1/PLCG1/PLXNC1/EPHA2/BMPR2/EPHB6/SEMA6B/SEMA6A/UNC5C/KRAS/SEMA3E/RGMA/SRC/RYK/SEMA3G/NTNG1/SEMA4D/ROBO1/NTN1/SEMA7A/SEMA4C/UNC5A/EPHB2/PIK3R1/NEO1/PLXNA1/PLXNB2/EPHB3/LRRC4C/ENAH/SEMA4B/SEMA4F",95
"Human Diseases","Drug resistance: antineoplastic","hsa01521","EGFR tyrosine kinase inhibitor resistance","50/1904","63/3379",0.793650793650794,1.40848005869014,3.71792956662184,9.83382952823877e-05,0.0104929537324746,0.00913740468569562,"RAF1/STAT3/PDGFRA/NRAS/FOXO3/SHC4/MET/JAK2/ARAF/PDGFC/FGFR3/AKT2/GAS6/IL6R/AKT1/BRAF/SHC1/GSK3B/GAB1/IL6/VEGFA/ERBB2/ERBB3/EGFR/HGF/MAPK3/MAP2K1/FGF2/MAPK1/AKT3/BCL2/MAP2K2/KDR/FGFR2/PTEN/IGF1R/BCL2L1/PDGFA/PLCG1/KRAS/GRB2/PRKCB/PRKCG/SRC/EGF/BAD/NRG2/IGF1/PIK3R1/NRG1",50
"Environmental Information Processing","Signaling molecules and interaction","hsa04517","IgSF CAM signaling","129/1904","186/3379",0.693548387096774,1.23082983193277,3.67888517329673,0.00012718731796939,0.0104929537324746,0.00913740468569562,"CLMP/SLITRK3/MPZ/SLITRK1/TRIO/DYNLL2/ITGAL/PTPN11/TJP1/ARPC1B/ITGB2/NCK2/PAK4/EPB41L1/MAGI2/AKT2/NRP2/UNC5B/MAPK10/MAPK9/NLGN1/AKT1/SLIT1/ROBO4/UNC5D/KIRREL2/CASK/DOK1/CADM2/SLITRK6/NLGN3/RDX/SH2D1B/SLIT2/MYL12A/PLXNA4/DOK2/MYL6B/MYL6/NCAM1/IL1RAPL1/ESAM/MAG/NECTIN1/GLDN/SLITRK2/DCC/LRFN4/NLGN4Y/MYL9/ITGAM/FOXO1/KIRREL1/CD209/ROBO2/GSK3B/SRGAP2/INPP5D/CD80/ICAM3/NTRK3/MAPK3/MAP2K1/JAM2/JAM3/MAPK1/NRP1/CNTN2/LY9/CADM1/CSK/PRKCI/LYN/AKT3/MAP2K2/CADM3/CD84/KDR/CDH2/FYN/PRKCQ/MAPK8/PAK6/L1CAM/PTPN6/ICAM1/PDPK1/KIRREL3/LCK/PLCG1/SLITRK5/MAPK11/MAPK13/MAPK14/NRCAM/UNC5C/VAV1/CD86/NLGN4X/GRB2/PRKCB/PRKCG/SRC/FGFR1/CD226/ROBO1/PTPRS/NECTIN2/NCAM2/LRRTM4/LRFN5/NTN1/CNTNAP2/CABLES2/SLITRK4/NFASC/ANK2/CRTAM/UNC5A/PVR/JAML/CTNNB1/PIK3R1/PLXNA1/NLGN2/PTPRD/LRRC4C/EZR/VAV3",129
"Human Diseases","Cancer: overview","hsa05230","Central carbon metabolism in cancer","40/1904","49/3379",0.816326530612245,1.44872234608129,3.59435447849521,0.000160134657601883,0.0105688874017242,0.00920352874217135,"RAF1/PDGFRA/NRAS/MET/TIGAR/HK2/HK1/FGFR3/AKT2/LDHA/PGAM2/AKT1/SCO2/PFKM/IDH1/G6PD/SIRT6/PDHB/KIT/PDHA2/ERBB2/NTRK3/EGFR/MAPK3/MAP2K1/MAPK1/RET/AKT3/FLT3/NTRK1/MAP2K2/FGFR2/PTEN/LDHB/PGAM1/KRAS/FGFR1/TP53/PIK3R1/LDHC",40
"Human Diseases","Cancer: specific types","hsa05213","Endometrial cancer","30/1904","35/3379",0.857142857142857,1.52115846338535,3.52077253081721,0.00020231320122432,0.0111272260673376,0.00968973753232272,"RAF1/ELK1/ILK/NRAS/FOXO3/ARAF/AXIN2/AKT2/AKT1/BRAF/GSK3B/CTNNA1/CTNNA3/ERBB2/EGFR/MAPK3/MAP2K1/MAPK1/AKT3/MAP2K2/PTEN/PDPK1/KRAS/GRB2/EGF/BAD/TP53/CTNNB1/PIK3R1/CTNNA2",30
"Human Diseases","Cancer: specific types","hsa05223","Non-small cell lung cancer","34/1904","41/3379",0.829268292682927,1.47168989547038,3.45201456593177,0.000283754678903236,0.0130936277165878,0.0114021064326267,"RAF1/STAT3/NRAS/FOXO3/MET/ARAF/AKT2/AKT1/BRAF/STAT5B/STAT5A/STK4/ERBB2/EGFR/HGF/MAPK3/MAP2K1/MAPK1/RET/AKT3/MAP2K2/PDPK1/PLCG1/RB1/KRAS/GRB2/PRKCB/PRKCG/EGF/BAD/TP53/ALK/PIK3R1/FHIT",34
"Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecule (CAM) interaction","68/1904","92/3379",0.739130434782609,1.31172360248447,3.44374537321619,0.000317421277977886,0.0130936277165878,0.0114021064326267,"CD99L2/SLITRK3/MPZ/SLITRK1/CD58/ITGB7/CDH15/MADCAM1/SELPLG/VSIR/ITGAL/ITGB2/SPN/NEGR1/CD8A/NLGN1/NRXN3/SDC3/SLITRK6/NLGN3/NCAM1/ESAM/MAG/NECTIN1/SLITRK2/LRRC4/NLGN4Y/ITGA6/ITGAM/NRXN1/OCLN/CLDN1/CD80/ICAM3/PECAM1/CD22/JAM2/JAM3/CNTN2/CADM1/SELE/CADM3/CDH2/L1CAM/ICAM1/SLITRK5/CD274/ICOSLG/NRCAM/CD86/NLGN4X/ALCAM/NTNG1/CD226/PTPRS/NECTIN2/NCAM2/CNTNAP2/SLITRK4/NFASC/PVR/JAML/NEO1/NLGN2/IGSF11/PTPRD/CD8B/LRRC4C",68
"Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","127/1904","188/3379",0.675531914893617,1.1988562712319,3.18729380550392,0.000818984798583508,0.0300294426147286,0.0261500409372278,"RAF1/ELK1/PDGFRA/NRAS/HSPA1A/CSF1/EFNA2/CACNB4/FLNA/RELB/MET/RPS6KA1/DUSP6/MAX/CDC25B/LAMTOR3/ARAF/PPM1A/ARRB1/RPS6KA6/MAP3K3/VEGFD/PDGFC/ANGPT2/FGFR3/CSF1R/FGF19/FGF16/EFNA4/FLT3LG/TGFB1/EFNA3/AKT2/MAPK10/PPP3R1/MAPK9/AKT1/BRAF/FLT4/FLT1/CD14/MAP2K6/STMN1/MRAS/PPP3R2/HSPA1B/RAC2/JUND/EFNA1/DUSP10/STK3/MAP3K11/IKBKG/PPM1B/MAP2K5/ELK4/STK4/MKNK1/BDNF/CACNB3/FGF8/KIT/IKBKB/ANGPT4/GNG12/VEGFA/EFNA5/ERBB2/ERBB3/ERBB4/TNFRSF1A/EGFR/HGF/ANGPT1/MAPK3/MAP2K1/ARTN/IL1R1/FGF2/IL1B/FASLG/FGF5/MAPK1/RET/AKT3/FLT3/INSR/RPS6KA3/NTRK1/TGFB3/MAP2K2/KDR/FGFR2/MAPKAPK2/MAPK8/NTF4/TGFB2/IGF1R/PDGFA/EPHA2/IL1A/NTRK2/CRK/FGFR4/MAPK11/MAPK13/MAPK14/KRAS/FAS/GRB2/PRKCB/PRKCG/EGF/FGFR1/NGF/GDNF/HSPA8/TP53/PTPRR/IGF1/CACNA2D3/MAP4K1/MAP4K3/KITLG/VEGFB/NFKB1/CRKL",127
"Organismal Systems","Nervous system","hsa04720","Long-term potentiation","23/1904","27/3379",0.851851851851852,1.51176859632742,3.03298871441551,0.00143407932562356,0.0423805606459241,0.0369055599883167,"RAF1/NRAS/PLCB1/RPS6KA1/ARAF/RPS6KA6/PPP3R1/BRAF/PPP1R1A/PPP3R2/CAMK4/PPP1CC/MAPK3/MAP2K1/MAPK1/CAMK2A/CAMK2B/CAMK2D/RPS6KA3/MAP2K2/KRAS/PRKCB/PRKCG",23
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","85/1904","122/3379",0.69672131147541,1.23646077283372,3.0220206332187,0.00147149553012137,0.0423805606459241,0.0369055599883167,"RAF1/ELK1/BIRC2/ILK/PDGFRA/COL1A1/COL6A1/COL6A3/ITGB7/FLNA/TNR/SHC4/MET/VEGFD/SPP1/PARVA/ZYX/PDGFC/PAK4/IBSP/CAPN2/AKT2/ARHGAP5/MAPK10/COL2A1/MAPK9/AKT1/BRAF/FLT4/SHC1/FLT1/RAC2/PPP1CC/MYL12A/FN1/LAMA3/COL9A3/RELN/MYL9/ITGA6/GSK3B/DIAPH1/RAPGEF1/VEGFA/ERBB2/EGFR/HGF/TNC/MAPK3/MAP2K1/VWF/MAPK1/THBS2/THBS4/AKT3/BCL2/THBS1/KDR/FYN/MAPK8/PAK6/PTEN/IGF1R/PDPK1/PDGFA/CRK/VAV1/GRB2/PRKCB/PRKCG/SRC/EGF/BAD/ITGB6/VTN/IGF1/CTNNB1/CAV3/PIK3R1/THBS3/VEGFB/LAMC2/VASP/VAV3/CRKL",85
"Cellular Processes","Cellular community - eukaryotes","hsa04550","Signaling pathways regulating pluripotency of stem cells","57/1904","78/3379",0.730769230769231,1.29688510019392,3.01356265849968,0.00154111129621542,0.0423805606459241,0.0369055599883167,"RAF1/STAT3/NRAS/BMPR1B/FZD10/JAK2/SMAD4/AXIN2/DVL2/FGFR3/INHBB/INHBA/AKT2/ID2/LEFTY2/AKT1/BMP4/ACVR2A/FZD5/FZD7/FZD8/SMAD5/WNT10B/WNT16/WNT5B/BMI1/OTX1/FZD2/FZD1/FZD9/NEUROG1/GSK3B/IL6ST/MAPK3/MAP2K1/FGF2/MAPK1/AKT3/MAP2K2/FGFR2/IGF1R/BMPR1A/BMPR2/FGFR4/MAPK11/MAPK13/MAPK14/KRAS/GRB2/FGFR1/LIFR/LIF/IGF1/CTNNB1/PIK3R1/ACVR2B/ID1",57
"Organismal Systems","Development and regeneration","hsa04380","Osteoclast differentiation","65/1904","91/3379",0.714285714285714,1.26763205282113,2.9400871333204,0.0019631258482404,0.0498331946091794,0.0433954134874194,"NCF2/STAT1/CSF1/LILRB3/SYK/RELB/TREM2/IRF9/CSF1R/TNFSF11/TGFB1/AKT2/MAPK10/SQSTM1/PPP3R1/MAPK9/LILRA2/AKT1/MAP2K6/PPP3R2/CAMK4/BTK/JUND/CALCR/LILRA1/CYLD/IKBKG/SPI1/FCGR2B/PPARG/IKBKB/TNFRSF1A/MAPK3/MAP2K1/IL1R1/IL1B/MAPK1/ACP5/FCGR3B/FCGR1A/AKT3/TEC/FYN/MAPK8/TGFB2/LCK/IL1A/MAPK11/MAPK13/MAPK14/LILRB1/LILRB2/TYK2/TNFRSF11A/GRB2/IFNGR1/IFNAR1/LILRA4/TNFRSF11B/OSCAR/LILRA5/PIK3R1/SIRPA/IFNGR2/NFKB1",65
"Environmental Information Processing","Signaling molecules and interaction","hsa04519","Cadherin signaling","103/1904","154/3379",0.668831168831169,1.18696455855069,2.69787655373527,0.00411636815943137,0.0943702501288879,0.0821788781026679,"RAF1/PDGFRA/NRAS/PCDH9/DSC1/KRT5/CDH15/DSG3/KRT7/PTK2B/LIMA1/FZD10/EVL/MET/TJP1/DES/YWHAB/MOB1A/TEAD4/ARPC1B/TEAD3/AXIN2/DSC2/DVL2/YWHAE/MAPK10/VIM/MAPK9/FLT4/JUP/WWC1/MRAS/KRT16/RAC2/MOB1B/PPP1CC/CDH12/FZD5/SCN3B/DSG2/FZD7/FZD8/BRK1/STK3/PCDH17/WNT10B/WNT16/WNT5B/IKBKG/YWHAH/KRT34/LRP6/FZD2/FZD1/FZD9/GSK3B/CTNNA1/IKBKB/PCDH1/LIMD1/CTNNA3/YAP1/LRP5/ERBB2/EGFR/MAPK3/MAP2K1/MAPK1/CDH6/MAP2K2/KDR/CDH2/MAPK8/YWHAG/IGF1R/MAPK11/MAPK13/MAPK14/KRAS/VAV1/KRT18/FGFR1/RYK/YWHAZ/PCDHGA10/PCDHGA12/PCDHGA2/YWHAQ/PCDHGC3/CDH7/SCN2B/ADAM10/CTNNB1/PCDHA7/PCDH10/PCDHAC2/CDH11/ENAH/VASP/VAV3/NFKB1/CTNNA2/PCDHB10",103
"Human Diseases","Cancer: specific types","hsa05214","Glioma","33/1904","43/3379",0.767441860465116,1.36196746140317,2.713676184417,0.00428955682404036,0.0943702501288879,0.0821788781026679,"RAF1/PDGFRA/NRAS/SHC4/ARAF/AKT2/AKT1/BRAF/SHC1/CAMK4/EGFR/MAPK3/MAP2K1/MAPK1/CAMK2A/CAMK2B/AKT3/CAMK2D/CAMK1/MAP2K2/PTEN/IGF1R/PDGFA/PLCG1/RB1/KRAS/GRB2/PRKCB/PRKCG/EGF/TP53/IGF1/PIK3R1",33
"Environmental Information Processing","Signal transduction","hsa04015","Rap1 signaling pathway","84/1904","124/3379",0.67741935483871,1.20220588235294,2.60613204333895,0.00549364728969311,0.112739576983005,0.0981751340234779,"RAF1/PDGFRA/NRAS/LAT/CSF1/EFNA2/PLCB1/ITGAL/EVL/MET/ITGB2/VEGFD/PDGFC/ANGPT2/FGFR3/CSF1R/FGF19/FGF16/RAP1GAP/EFNA4/MAGI2/EFNA3/RALA/AKT2/AKT1/BRAF/FLT4/FLT1/MAP2K6/MRAS/RAC2/EFNA1/PFN1/APBB1IP/ITGAM/FGF8/KIT/ANGPT4/RAPGEF1/VEGFA/EFNA5/PRKCZ/EGFR/HGF/ANGPT1/MAPK3/MAP2K1/FGF2/FGF5/MAPK1/PRKCI/AKT3/INSR/THBS1/MAP2K2/KDR/FGFR2/IGF1R/PDGFA/PLCG1/EPHA2/CRK/FGFR4/MAPK11/MAPK13/MAPK14/KRAS/VAV1/PRKCB/PRKCG/SRC/EGF/FGFR1/NGF/IGF1/CTNNB1/PIK3R1/KITLG/ID1/VEGFB/ENAH/VASP/VAV3/CRKL",84
"Cellular Processes","Cell growth and death","hsa04114","Oocyte meiosis","34/1904","45/3379",0.755555555555556,1.34087301587302,2.6150702899592,0.00580779639003358,0.112739576983005,0.0981751340234779,"RPS6KA1/ANAPC10/YWHAB/PPP2R1A/RPS6KA6/MAD1L1/PPP2R5A/YWHAE/MAD2L1/PPP3R1/PGR/CUL1/PPP3R2/PPP1CC/CCNE1/YWHAH/PPP2R5D/MAPK3/MAP2K1/MAPK1/CAMK2A/CAMK2B/PLK1/CAMK2D/RPS6KA3/SKP1/YWHAG/IGF1R/MAPK11/MAPK13/MAPK14/YWHAZ/YWHAQ/IGF1",34
"Organismal Systems","Immune system","hsa04658","Th1 and Th2 cell differentiation","41/1904","56/3379",0.732142857142857,1.29932285414166,2.56587801159835,0.0065989358911415,0.120980491337594,0.105351432648049,"STAT1/STAT6/LAT/RUNX3/JAK2/IL13/MAPK10/PPP3R1/MAPK9/STAT5B/PPP3R2/CD3E/STAT5A/IKBKG/IKBKB/IL12RB1/IL2RG/MAPK3/MAPK1/DLL4/IL5/IL12RB2/PRKCQ/MAPK8/ZAP70/LCK/PLCG1/MAPK11/MAPK13/MAPK14/JAG1/JAG2/NOTCH1/NOTCH3/TYK2/DLL1/IFNGR1/NOTCH2/IFNGR2/IL2RB/NFKB1",41
"Environmental Information Processing","Signaling molecules and interaction","hsa04518","Integrin signaling","63/1904","91/3379",0.692307692307692,1.2286279896574,2.51160577973778,0.0074057144943536,0.124050910457053,0.108025194752075,"ILK/PDGFRA/COL1A1/COL6A1/COL6A3/ITGB7/FLNA/MADCAM1/TNR/ITGAL/MET/FERMT3/ITGB2/VEGFD/SPP1/PARVA/NCK2/PDGFC/IBSP/TGFB1/AKT2/COL2A1/AKT1/FLT4/FLT1/RAC2/FN1/LAMA3/COL9A3/FREM1/RELN/ITGA6/ITGAM/GSK3B/VEGFA/ERBB2/ICAM3/EGFR/HGF/TNC/C3/VWF/THBS2/THBS4/AKT3/THBS1/KDR/IGF1R/ICAM1/PDGFA/SRC/EGF/NPNT/ICAM4/FREM2/ITGB6/VTN/IGF1/CTNNB1/PIK3R1/THBS3/VEGFB/LAMC2",63
"Human Diseases","Cancer: specific types","hsa05212","Pancreatic cancer","33/1904","44/3379",0.75,1.33101365546218,2.51068145038612,0.00795067681868059,0.124050910457053,0.108025194752075,"RAF1/STAT3/STAT1/SMAD4/ARAF/TGFB1/RALA/AKT2/MAPK10/MAPK9/AKT1/BRAF/RAC2/IKBKG/IKBKB/VEGFA/ERBB2/EGFR/MAPK3/MAP2K1/MAPK1/AKT3/TGFB3/MAPK8/TGFB2/BCL2L1/RB1/KRAS/EGF/BAD/TP53/PIK3R1/NFKB1",33
"Organismal Systems","Endocrine system","hsa04910","Insulin signaling pathway","49/1904","69/3379",0.710144927536232,1.26028346121057,2.48155786335835,0.00827006069713686,0.124050910457053,0.108025194752075,"RAF1/ELK1/NRAS/PKLR/SHC4/CBL/PRKAR1B/ARAF/HK2/HK1/AKT2/MAPK10/MAPK9/AKT1/BRAF/SHC1/TRIP10/PCK1/PPP1CC/TSC2/PRKAR1A/RHOQ/FOXO1/MKNK1/GSK3B/IKBKB/PHKA1/INPP5A/PRKAR2B/RAPGEF1/PRKCZ/MAPK3/MAP2K1/PTPN1/MAPK1/PRKCI/AKT3/INSR/MAP2K2/MAPK8/PDPK1/CRK/KRAS/GRB2/BAD/FBP1/PIK3R1/FBP2/CRKL",49
"Human Diseases","Cancer: specific types","hsa05215","Prostate cancer","49/1904","69/3379",0.710144927536232,1.26028346121057,2.48155786335835,0.00827006069713686,0.124050910457053,0.108025194752075,"RAF1/PDGFRA/NRAS/CREB3L4/ARAF/GSTP1/PDGFC/AKT2/FOLR3/FOLR2/AKT1/BRAF/CCNE1/IKBKG/FOXO1/GSK3B/IKBKB/MMP9/ERBB2/HSP90AA1/EGFR/MMP3/MAPK3/MAP2K1/MAPK1/AKT3/BCL2/MAP2K2/FGFR2/PTEN/IGF1R/PDPK1/PDGFA/RB1/KRAS/GRB2/HSP90AB1/FOLH1/EGF/FGFR1/BAD/TP53/INSRR/HSP90B1/IGF1/CTNNB1/KLK3/PIK3R1/NFKB1",49
"Organismal Systems","Digestive system","hsa04973","Carbohydrate digestion and absorption","14/1904","16/3379",0.875,1.55284926470588,2.51808611606288,0.00869815398506595,0.124799600655294,0.108677164207002,"AMY2B/PLCB1/HK2/HK1/ATP1B1/AKT2/AKT1/AMY2A/AKT3/PRKCB/ATP1B2/AMY1A/PIK3R1/LCT",14
"Environmental Information Processing","Signal transduction","hsa04014","Ras signaling pathway","97/1904","147/3379",0.659863945578231,1.17105056308238,2.40887788187955,0.00952164841076033,0.129391625341626,0.112675960823809,"RAF1/ELK1/PDGFRA/NRAS/LAT/CSF1/EFNA2/SHC4/MET/PTPN11/ETS2/VEGFD/HTR7/PDGFC/ANGPT2/FGFR3/PLA2G2E/CSF1R/PAK4/FGF19/FGF16/EFNA4/FLT3LG/EFNA3/RAB5C/RALA/AKT2/MAPK10/MAPK9/AKT1/FLT4/SHC1/FLT1/RAB5A/MRAS/RAC2/RAB5B/EFNA1/PLA2G12A/IKBKG/STK4/BDNF/GAB1/FGF8/PLA2G5/KIT/IKBKB/ANGPT4/GNG12/VEGFA/EFNA5/EGFR/HGF/ANGPT1/MAPK3/MAP2K1/PLA2G10/FGF2/FASLG/FGF5/MAPK1/ABL2/AKT3/TBK1/FLT3/INSR/NTRK1/MAP2K2/KDR/FGFR2/MAPK8/PAK6/ZAP70/NTF4/IGF1R/BCL2L1/PDGFA/PLCG1/EPHA2/NTRK2/PLA2G1B/FGFR4/KRAS/GRB2/PRKCB/PRKCG/EGF/FGFR1/NGF/BAD/PLAAT2/IGF1/PLA2G2C/PIK3R1/KITLG/VEGFB/NFKB1",97
"Metabolism","Carbohydrate metabolism","hsa00010","Glycolysis / Gluconeogenesis","36/1904","49/3379",0.73469387755102,1.30385011147316,2.4338993110162,0.00980239585921412,0.129391625341626,0.112675960823809,"DLD/ENO2/ENO1/PKLR/ADH5/ADH7/ALDH3A1/ALDH3B1/HK2/HK1/LDHA/PGAM2/ENO3/PFKM/ADH1A/PCK1/DLAT/ALDH7A1/PDHB/ACSS2/PDHA2/LDHB/PGAM1/AKR1A1/GPI/TPI1/PGK1/MINPP1/ALDOA/ADPGK/FBP1/PGM1/LDHC/ADH1B/FBP2/ALDOC",36
"Metabolism","Glycan biosynthesis and metabolism","hsa00510","N-Glycan biosynthesis","16/1904","19/3379",0.842105263157895,1.49447147279965,2.45536288875011,0.0103427584204405,0.131273472259437,0.114314698331185,"RPN1/MGAT1/B4GALT1/MAN1C1/DDOST/ST6GAL2/MGAT5/MGAT3/ST6GAL1/MGAT2/MAN1B1/MGAT4B/MGAT4C/FUT8/MAN1A2/B4GALT2",16
"Environmental Information Processing","Signal transduction","hsa04071","Sphingolipid signaling pathway","41/1904","57/3379",0.719298245614035,1.2765277163497,2.39190301027527,0.0108465120927855,0.132568481134045,0.115442409408594,"RAF1/NRAS/SMPD1/PLCB1/PPP2R1A/PPP2R5A/AKT2/KNG1/MAPK10/MAPK9/AKT1/RAC2/NOS3/PPP2R5D/PRKCZ/TNFRSF1A/MAPK3/MAP2K1/MAPK1/ASAH2/AKT3/BCL2/MAP2K2/FYN/MAPK8/PTEN/PDPK1/MAPK11/MAPK13/MAPK14/KRAS/PRKCB/PRKCG/CTSD/ASAH1/BID/TP53/SPTLC1/PIK3R1/FCER1A/NFKB1",41
"Environmental Information Processing","Signal transduction","hsa04012","ErbB signaling pathway","49/1904","70/3379",0.7,1.24227941176471,2.32693596167538,0.0126763171286628,0.142368448891311,0.123976352623056,"RAF1/ELK1/NRAS/NRG3/SHC4/CBL/ARAF/NCK2/PAK4/NRG4/AKT2/MAPK10/MAPK9/AKT1/BRAF/SHC1/STAT5B/STAT5A/GSK3B/GAB1/ERBB2/ERBB3/ERBB4/EGFR/MAPK3/MAP2K1/MAPK1/ABL2/CAMK2A/CAMK2B/AKT3/CAMK2D/MAP2K2/MAPK8/PAK6/PLCG1/CRK/KRAS/GRB2/PRKCB/PRKCG/SRC/EGF/BAD/NRG2/PIK3R1/NRG1/BTC/CRKL",49
"Environmental Information Processing","Signal transduction","hsa04066","HIF-1 signaling pathway","54/1904","78/3379",0.692307692307692,1.2286279896574,2.32071185744706,0.012752016637344,0.142368448891311,0.123976352623056,"ENO2/STAT3/ENO1/PFKFB3/HK2/HK1/ANGPT2/AKT2/LDHA/IL6R/AKT1/FLT1/ENO3/PFKM/HMOX1/NOS3/TIMP1/PDHB/MKNK1/ANGPT4/PDHA2/IL6/VEGFA/ERBB2/EGFR/ANGPT1/MAPK3/MAP2K1/MAPK1/CAMK2A/CAMK2B/AKT3/BCL2/CAMK2D/INSR/MAP2K2/LDHB/TF/IGF1R/PLCG1/PGK1/PRKCB/PRKCG/EGF/IFNGR1/ALDOA/TFRC/IGF1/PIK3R1/IFNGR2/LDHC/NFKB1/ALDOC/EGLN1",54
"Human Diseases","Cancer: specific types","hsa05221","Acute myeloid leukemia","35/1904","48/3379",0.729166666666667,1.29404105392157,2.33081904234039,0.0130732590361768,0.142368448891311,0.123976352623056,"RAF1/STAT3/NRAS/DUSP6/ARAF/CSF1R/AKT2/AKT1/BRAF/STAT5B/JUP/CD14/CEBPA/STAT5A/CEBPE/IKBKG/ITGAM/SPI1/KIT/IKBKB/PML/MPO/MAPK3/MAP2K1/MAPK1/FCGR1A/AKT3/FLT3/MAP2K2/IL3/KRAS/GRB2/BAD/PIK3R1/NFKB1",35
"Genetic Information Processing","Folding, sorting and degradation","hsa04141","Protein processing in endoplasmic reticulum","62/1904","91/3379",0.681318681318681,1.20912595807554,2.29736510294648,0.0133740058049414,0.142368448891311,0.123976352623056,"RAD23A/CRYAA/RPN1/HSPA1A/TXNDC5/ATF6/ATF6B/DNAJB2/P4HB/DNAJA2/RAD23B/UBQLN4/NPLOC4/PRKN/MAN1C1/UBE2D4/CAPN2/SEC13/MAPK10/MAPK9/ATXN3/UBE2G1/DDOST/HSPH1/SAR1A/CUL1/SVIP/UBE2D2/HSPA1B/UBQLN2/BAG2/UBE2D3/PDIA4/HSPBP1/SIL1/HYOU1/SAR1B/UBQLN3/DNAJC5B/VCP/HSP90AA1/BCL2/MAPK8/SKP1/NSFL1C/PDIA3/CALR/HSP90AB1/PDIA6/PRKCSH/HSPA8/HSP90B1/UBE2J1/ERO1A/MAN1B1/DNAJB11/LMAN2/DNAJB12/DNAJC10/ERLEC1/MAN1A2/UBXN4",62
"Metabolism","Glycan biosynthesis and metabolism","hsa00513","Various types of N-glycan biosynthesis","15/1904","18/3379",0.833333333333333,1.47890406162465,2.31429011920768,0.0157270189862663,0.162184883295871,0.141232769185878,"RPN1/MGAT1/CHST9/B4GALT1/MAN1C1/HEXB/DDOST/HEXA/MGAT2/MAN1B1/MGAT4B/MGAT4C/FUT8/MAN1A2/B4GALT2",15
