"protein_id","n_valid","raw_spearman_rho","residual_spearman_rho","p_value","age_effect_r2","fdr","significant_fdr05","significant_fdr01","sig_cat","direction","rho_shift","EntrezGeneSymbol","TargetFullName","Target","UniProt"
"X5351.52",495,-0.0253511372899615,-0.0243664937213324,0.588624775837285,0.00124499232824129,0.651701684011408,FALSE,FALSE,"Not significant","Negative",0.000984643568629068,"HNRNPA2B1","Heterogeneous nuclear ribonucleoproteins A2/B1","hnRNP A2/B1","P22626"
"X18864.7",475,0.0403633258901974,0.0248540755701822,0.588963760037194,0.0207310003646159,0.651870933648372,FALSE,FALSE,"Not significant","Positive",-0.0155092503200151,"PRSS3","Trypsin-3","TRY3","P35030"
"X25967.34",489,-0.00896842463265833,-0.0244954403364484,0.588941264372092,0.0272662663728658,0.651870933648372,FALSE,FALSE,"Not significant","Negative",-0.01552701570379,"TIMP1","Metalloproteinase inhibitor 1","TIMP-1","P01033"
"X15675.3",488,0.0278985417755116,0.024421854696093,0.590443714781053,0.000932349254391112,0.653405722281402,FALSE,FALSE,"Not significant","Positive",-0.00347668707941864,"CEBPB","CCAAT/enhancer-binding protein beta","CEBPB","P17676"
"X23330.12",493,-0.0281750869318203,-0.0242282056537254,0.5914978777086,0.00400724580900521,0.654468904335609,FALSE,FALSE,"Not significant","Negative",0.00394688127809492,"GUCD1","Uncharacterized protein C22orf13","CV013","Q96NT3"
"X3046.31",470,0.00435019476750374,-0.0247871632486706,0.591941741378617,0.0672759375757804,0.654856585337525,FALSE,FALSE,"Not significant","Negative",-0.0291373580161743,"RETN","Resistin","resistin","Q9HD89"
"X23564.83",489,-0.0242910836249816,-0.0241991096289211,0.593457833900619,5.98491594792327e-05,0.656430147872073,FALSE,FALSE,"Not significant","Negative",9.19739960604932e-05,"METTL21C","Protein-lysine methyltransferase METTL21C","MT21C","Q5VZV1"
"X21369.15",481,0.0242098476509057,0.0243689667963527,0.593935446796199,2.37103401047147e-07,0.65685472131471,FALSE,FALSE,"Not significant","Positive",0.000159119145447018,"RTCA","RNA 3'-terminal phosphate cyclase","RTCA","O00442"
"X12562.1",483,0.0264522242409877,0.0242899720783374,0.594364202852581,0.00122460219682104,0.657225136698078,FALSE,FALSE,"Not significant","Positive",-0.00216225216265025,"PKN1","Serine/threonine-protein kinase N1","PKN1","Q16512"
"X22007.1",488,0.0329863304929291,0.0241489426073589,0.594603331430506,0.00393691956310279,0.657337863109882,FALSE,FALSE,"Not significant","Positive",-0.00883738788557021,"RETNLB","Resistin-like beta","RELM-beta","Q9BQ08"
"X9360.33",480,0.0145271784243683,0.0243470023741422,0.594653824200903,0.0106031039621496,0.657337863109882,FALSE,FALSE,"Not significant","Positive",0.00981982394977396,"EDIL3","EGF-like repeat and discoidin I-like domain-containing protein 3","EDIL3","O43854"
"X16594.44",490,-0.00953368852440275,-0.0240875134947526,0.594784716004191,0.00941109239243412,0.657378815968659,FALSE,FALSE,"Not significant","Negative",-0.0145538249703499,"FAIM","Fas apoptotic inhibitory molecule 1","FAIM1","Q9NVQ4"
"X19259.176",494,0.0255602634396999,0.0239776948435003,0.594963397639307,0.000700141273149871,0.657472566723985,FALSE,FALSE,"Not significant","Positive",-0.00158256859619955,"EIF2S1","Eukaryotic translation initiation factor 2 subunit 1","IF2A","P05198"
