"protein_id","n_valid","raw_spearman_rho","residual_spearman_rho","p_value","age_effect_r2","fdr","significant_fdr05","significant_fdr01","sig_cat","direction","rho_shift","EntrezGeneSymbol","TargetFullName","Target","UniProt"
"X8992.1",493,0.252282976872531,0.246061604445211,3.11389971996131e-08,0.0143881835753967,9.72486292390949e-08,TRUE,TRUE,"FDR < 0.01","Positive",-0.0062213724273204,"CEMIP2","Transmembrane protein 2","TMEM2","Q9UHN6"
"X9014.18",491,0.248117399700775,0.246381823869057,3.18353356381992e-08,0.000117221245906542,9.93790223465175e-08,TRUE,TRUE,"FDR < 0.01","Positive",-0.00173557583171774,"TMEM25","Transmembrane protein 25","TMM25","Q86YD3"
"X18380.78",492,-0.233754478215216,-0.24606273130065,3.2152910426737e-08,0.00583989518150539,1.00325673736879e-07,TRUE,TRUE,"FDR < 0.01","Negative",-0.0123082530854338,"ALB","Serum albumin","Albumin","P02768"
"X13986.6",489,0.228758106212753,0.246646862797714,3.27940417257763e-08,0.0121708147179605,1.02280615444819e-07,TRUE,TRUE,"FDR < 0.01","Positive",0.0178887565849612,"LANCL1","LanC-like protein 1","LANC1","O43813"
"X22144.65",490,0.257329146074196,0.24632476858398,3.31279066457634e-08,0.0140834056285042,1.03275917246806e-07,TRUE,TRUE,"FDR < 0.01","Positive",-0.011004377490216,"FBXO48","F-box only protein 48","FBX48","Q5FWF7"
"X14139.16",494,0.251668572571216,0.245293021334209,3.33843100151888e-08,0.00612516515212139,1.04028955363166e-07,TRUE,TRUE,"FDR < 0.01","Positive",-0.00637555123700675,"NRG4","Neuregulin-4","NRG4","Q8WWG1"
"X14633.26",494,-0.253145791020576,-0.245164022242646,3.39585661296579e-08,0.0126088975027997,1.057713453705e-07,TRUE,TRUE,"FDR < 0.01","Negative",0.00798176877793033,"TMEM185A","Transmembrane protein 185A","T185A","Q8NFB2"
"X11458.30",493,0.251347193846905,0.245371610165503,3.41137104361318e-08,0.00500175065170146,1.0620735182449e-07,TRUE,TRUE,"FDR < 0.01","Positive",-0.00597558368140225,"PCBP1","Poly(rC)-binding protein 1","PCBP1","Q15365"
"X20091.138",495,0.241913548919368,0.244832417158393,3.43661927150281e-08,0.00042902622447276,1.06945881816425e-07,TRUE,TRUE,"FDR < 0.01","Positive",0.00291886823902521,"EFNA1","Ephrin-A1","Ephrin-A1","P20827"
"X22386.11",493,-0.249831626336967,-0.245103043916182,3.53443296785129e-08,0.00600816372180456,1.09940954439602e-07,TRUE,TRUE,"FDR < 0.01","Negative",0.00472858242078539,"OTX1","Homeobox protein OTX1","OTX1","P32242"
"X13570.43",493,0.245196940132615,0.24504718685892,3.56056156645294e-08,0.000106080312341959,1.1070454404351e-07,TRUE,TRUE,"FDR < 0.01","Positive",-0.000149753273694986,"HDLBP","Vigilin","VIGLN","Q00341"
"X4851.25",490,0.235999642697468,0.245468387147445,3.70782739886357e-08,0.00292348335652175,1.15232169161665e-07,TRUE,TRUE,"FDR < 0.01","Positive",0.00946874444997631,"IL1A","Interleukin-1 alpha","IL-1a","P01583"
"X22041.26",469,-0.264822526579015,-0.250736846513283,3.71838305562722e-08,0.0421853133498067,1.15508972526247e-07,TRUE,TRUE,"FDR < 0.01","Negative",0.0140856800657316,"MAP2K5","Dual specificity mitogen-activated protein kinase kinase 5","MP2K5","Q13163"
"X22784.4",489,0.242666768360452,0.245668851663835,3.7292481924871e-08,5.44377128194087e-06,1.1579514001938e-07,TRUE,TRUE,"FDR < 0.01","Positive",0.00300208330338311,"SPATA22","Spermatogenesis-associated protein 22","SPT22","Q8NHS9"
"X8235.48",495,0.233636157798226,0.244175759158781,3.74792612733727e-08,0.00418718627624227,1.16323537979608e-07,TRUE,TRUE,"FDR < 0.01","Positive",0.0105396013605552,"CHGB","Secretogranin-1","SCG1","P05060"
"X25088.42",493,-0.250964402444969,-0.244587006793314,3.78304798065512e-08,0.00924669287788174,1.17361608080111e-07,TRUE,TRUE,"FDR < 0.01","Negative",0.00637739565165438,"PHKA1","Phosphorylase b kinase regulatory subunit alpha, skeletal muscle isoform","PHKA1","P46020"
"X13076.4",481,-0.253854880772774,-0.247468858101638,3.81829444984684e-08,0.00406511514848921,1.18402623378385e-07,TRUE,TRUE,"FDR < 0.01","Negative",0.00638602267113561,"FXR1","Fragile X mental retardation syndrome-related protein 1","FXR1","P51114"
"X2843.13",492,0.250782005011582,0.244619748759217,3.88854647310229e-08,0.00487143557029309,1.20527734708325e-07,TRUE,TRUE,"FDR < 0.01","Positive",-0.00616225625236416,"SPINT2","Kunitz-type protease inhibitor 2","SPINT2","O43291"
"X21104.37",494,0.244077971944517,0.24407647439568,3.91948703724824e-08,0.000214554254751636,1.2143302386521e-07,TRUE,TRUE,"FDR < 0.01","Positive",-1.49754883677078e-06,"UBL5","Ubiquitin-like protein 5","UBL5","Q9BZL1"
"X19602.36",493,0.243993531847572,0.24402347399045,4.07385178340315e-08,5.32985674920917e-05,1.26159733610694e-07,TRUE,TRUE,"FDR < 0.01","Positive",2.99421428775482e-05,"JUND","Transcription factor jun-D","jun-D","P17535"
"X8406.17",490,0.245144919184861,0.244657350390345,4.12369460444055e-08,0.00138355814707445,1.27646843588626e-07,TRUE,TRUE,"FDR < 0.01","Positive",-0.000487568794515253,"IGF1","Insulin-like growth factor I","IGF-I","P05019"
"X10938.13",493,0.250406214449462,0.243856671388979,4.1639951465547e-08,0.00473934999962637,1.28837394000069e-07,TRUE,TRUE,"FDR < 0.01","Positive",-0.00654954306048292,"CD58","Lymphocyte function-associated antigen 3","sLFA-3","P19256"
"X2788.55",488,0.242599983003801,0.245045424215771,4.17783948272077e-08,0.000303485363281434,1.29208678041762e-07,TRUE,TRUE,"FDR < 0.01","Positive",0.00244544121197038,"MMP3","Stromelysin-1","MMP-3","P08254"
"X8355.80",494,0.245038963310645,0.243360830136469,4.30576474198652e-08,0.000949160375161209,1.33106275452849e-07,TRUE,TRUE,"FDR < 0.01","Positive",-0.00167813317417603,"None","Isthmin-1","ISM1","B1AKI9"
"X10721.76",495,0.254678207488893,0.243014413430373,4.36646876251963e-08,0.0335909498660977,1.34923306931848e-07,TRUE,TRUE,"FDR < 0.01","Positive",-0.0116637940585203,"HSPA1A","Heat shock 70 kDa protein 1A","HSP 70","P0DMV8"
"X3831.21",493,-0.253682006720457,-0.243329848934001,4.46154059752823e-08,0.0116622153084023,1.37800228772863e-07,TRUE,TRUE,"FDR < 0.01","Negative",0.0103521577864565,"PTEN","Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN","pTEN","P60484"
"X3854.24",486,-0.24787985385622,-0.245012935012786,4.47223686498972e-08,0.0039144104754668,1.3806971899186e-07,TRUE,TRUE,"FDR < 0.01","Negative",0.00286691884343437,"NACA","Nascent polypeptide-associated complex subunit alpha","NACA","Q13765"
"X6458.6",472,0.255275860833439,0.24846926746457,4.50463950848389e-08,0.0176641097133854,1.39008809501893e-07,TRUE,TRUE,"FDR < 0.01","Positive",-0.00680659336886921,"RPN1","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1:Lumenal domain","RPN1:LD","P04843"
"X8239.223",495,0.21444373059905,0.242697314004615,4.5518228405363e-08,0.0313268868196626,1.40402989863306e-07,TRUE,TRUE,"FDR < 0.01","Positive",0.028253583405565,"BCHE","Cholinesterase","Pseudocholinesterase","P06276"
"X15513.108",493,0.251079096415248,0.24286250220576,4.74261240174736e-08,0.0291012741770009,1.46159260335417e-07,TRUE,TRUE,"FDR < 0.01","Positive",-0.00821659420948839,"PRSS8","Prostasin","Prostasin","Q16651"
"X22077.46",489,0.251916042259009,0.24382870740334,4.74260379644767e-08,0.0157813069756856,1.46159260335417e-07,TRUE,TRUE,"FDR < 0.01","Positive",-0.00808733485566909,"ATP23","Mitochondrial inner membrane protease ATP23 homolog","ATP23","Q9Y6H3"
"X21138.2",494,0.253109863310946,0.242567985724023,4.776675008179e-08,0.0300797245703882,1.47144276307361e-07,TRUE,TRUE,"FDR < 0.01","Positive",-0.010541877586923,"NPM2","Nucleoplasmin-2","NPM2","Q86SE8"
"X6117.4",494,0.257094529733994,0.242559867092802,4.78174541348886e-08,0.0276570279201346,1.4723572141314e-07,TRUE,TRUE,"FDR < 0.01","Positive",-0.0145346626411921,"PCSK2","Neuroendocrine convertase 2","NEC2","P16519"
"X5792.8",493,-0.257150926517191,-0.242302687026022,5.10186080253998e-08,0.0166263529345317,1.57023439902428e-07,TRUE,TRUE,"FDR < 0.01","Negative",0.0148482394911692,"AFP","alpha-Fetoprotein","AFP","P02771"
"X9219.70",490,0.245557922568375,0.242865193837022,5.20863425132706e-08,0.000541430433350025,1.60239275057295e-07,TRUE,TRUE,"FDR < 0.01","Positive",-0.00269272873135315,"NENF","Neudesin","NENF","Q9UMX5"
