"protein_id","n_valid","raw_spearman_rho","residual_spearman_rho","p_value","age_effect_r2","fdr","significant_fdr05","significant_fdr01","sig_cat","direction","rho_shift","EntrezGeneSymbol","TargetFullName","Target","UniProt"
"X8768.4",494,-0.419595337983673,-0.411408767595249,1.3366990037788e-21,0.019758504320335,1.12950259607606e-20,TRUE,TRUE,"FDR < 0.01","Negative",0.00818657038842402,"BCL10","B-cell lymphoma/leukemia 10","Bcl-10","O95999"
"X19169.88",495,-0.416011063290549,-0.409905207299809,1.76159075017759e-21,0.0188509955917176,1.47960949700168e-20,TRUE,TRUE,"FDR < 0.01","Negative",0.00610585599074093,"FIBP","Acidic fibroblast growth factor intracellular-binding protein","FIBP","O43427"
"X3210.1",495,-0.416594203617286,-0.409203798465259,2.09186233196927e-21,0.0187832615512418,1.74654298396242e-20,TRUE,TRUE,"FDR < 0.01","Negative",0.00739040515202793,"METAP1","Methionine aminopeptidase 1","METAP1","P53582"
"X19126.4",494,-0.409362082212388,-0.40745856044244,3.51004476677816e-21,0.0203664280742032,2.89268983426835e-20,TRUE,TRUE,"FDR < 0.01","Negative",0.00190352176994829,"RPRD1B","Regulation of nuclear pre-mRNA domain-containing protein 1B","C20orf77","Q9NQG5"
"X13631.1",495,-0.412661093111963,-0.406458014574603,4.08305561701591e-21,0.0187918704427077,3.34524030376566e-20,TRUE,TRUE,"FDR < 0.01","Negative",0.00620307853736024,"RBBP5","Retinoblastoma-binding protein 5","RB binding protein 5","Q15291"
"X11643.73",495,-0.415001956681079,-0.405977972669442,4.58657854664847e-21,0.0235841002190151,3.73592822317122e-20,TRUE,TRUE,"FDR < 0.01","Negative",0.00902398401163718,"DTX3L","E3 ubiquitin-protein ligase DTX3L","DTX3L","Q8TDB6"
"X18868.7",491,-0.423362501828155,-0.406783790832896,5.4389742590371e-21,0.0302512470333904,4.40462597509305e-20,TRUE,TRUE,"FDR < 0.01","Negative",0.0165787109952585,"CBX3","Chromobox protein homolog 3","CBX3","Q13185"
"X24723.58",494,-0.414013572517389,-0.405614960819402,5.48391176962481e-21,0.0177715404667613,4.43588937023346e-20,TRUE,TRUE,"FDR < 0.01","Negative",0.00839861169798739,"EIF2S2","Eukaryotic translation initiation factor 2 subunit 2","eIF-2-beta","P20042"
"X9875.107",495,-0.408980327691893,-0.404518839960266,6.52374828474487e-21,0.0236645935368245,5.25878673586166e-20,TRUE,TRUE,"FDR < 0.01","Negative",0.00446148773162652,"THOC1","THO complex subunit 1","THOC1","Q96FV9"
"X11544.39",494,-0.408534201115947,-0.404187064700785,7.73298484214966e-21,0.0185660282182812,6.19789002508677e-20,TRUE,TRUE,"FDR < 0.01","Negative",0.0043471364151621,"PHF3","PHD finger protein 3","PHF3","Q92576"
"X20991.2",492,-0.408467596206816,-0.40407541556154,9.51199989938652e-21,0.0339448164145118,7.580382172378e-20,TRUE,TRUE,"FDR < 0.01","Negative",0.00439218064527513,"LIMD2","LIM domain-containing protein 2","LIMD2","Q9BT23"
"X25949.3",487,-0.418801545361168,-0.405488989934642,1.0675265891175e-20,0.0282217477614942,8.48810869099671e-20,TRUE,TRUE,"FDR < 0.01","Negative",0.013312555426526,"PLCD3","1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-3","PLCD3","Q8N3E9"
"X18156.7",495,-0.407615926501397,-0.401853038066105,1.23622456313778e-20,0.0240331721494611,9.77398765776542e-20,TRUE,TRUE,"FDR < 0.01","Negative",0.00576288843529221,"ATG3","Ubiquitin-like-conjugating enzyme ATG3","ATG3","Q9NT62"
"X3081.70",494,-0.411596513374558,-0.400785647614544,1.74181818292037e-20,0.0201839230707638,1.36940924482124e-19,TRUE,TRUE,"FDR < 0.01","Negative",0.0108108657600138,"ULBP1","NKG2D ligand 1","ULBP-1","Q9BZM6"
"X3809.1",495,-0.406810015367536,-0.399219767216372,2.31131775877779e-20,0.0272677890449854,1.80298228287733e-19,TRUE,TRUE,"FDR < 0.01","Negative",0.00759024815116438,"FGFR3","Fibroblast growth factor receptor 3:Cytoplasmic domain","FGFR-3:CD","P22607"
"X9901.28",494,-0.411871826584062,-0.399346523002728,2.44900967099849e-20,0.0286479133085809,1.90614586059383e-19,TRUE,TRUE,"FDR < 0.01","Negative",0.0125253035813338,"EGLN1","Egl nine homolog 1","EGLN1","Q9GZT9"
"X18321.38",495,-0.406025885589456,-0.398167620347772,2.96324536228824e-20,0.0261895475188902,2.29618736314481e-19,TRUE,TRUE,"FDR < 0.01","Negative",0.00785826524168376,"MTHFD2","Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial","MTDC","P13995"
"X8094.20",494,-0.407511195914627,-0.397612368711274,3.6843333565647e-20,0.0311324032038116,2.83301373904893e-19,TRUE,TRUE,"FDR < 0.01","Negative",0.00989882720335333,"CISD2","CDGSH iron-sulfur domain-containing protein 2","CISD2","Q8N5K1"
