"protein_id","n","spearman_rho","p_value","fdr","significant_fdr05","significant_fdr01","direction","EntrezGeneSymbol","TargetFullName","Target","UniProt"
"X4250.23",495,0.817456078186944,3.36754281385339e-120,1.47435233819019e-117,TRUE,TRUE,"Positive","NSFL1C","NSFL1 cofactor p47","NSF1C","Q9UNZ2"
"X4903.72",494,0.814686278598969,1.63964117529246e-118,6.75628613701395e-116,TRUE,TRUE,"Positive","PPP3CA|PPP3R1","Calcineurin","Calcineurin","Q08209|P63098"
"X14623.26",495,0.812652528578685,1.0645654468425e-117,4.14293386396207e-115,TRUE,TRUE,"Positive","SUMO3","Small ubiquitin-related modifier 3","SUMO3","P55854"
"X14157.21",495,0.811755333441431,3.06265242555446e-117,1.12915159163205e-114,TRUE,TRUE,"Positive","YWHAE","14-3-3 protein epsilon","14-3-3E","P62258"
"X13967.14",494,0.808346414490167,2.74235983825773e-115,9.6051153334977e-113,TRUE,TRUE,"Positive","TXNRD1","Thioredoxin reductase 1, cytoplasmic","Thioredoxin reductase 1","Q16881"
"X25276.32",493,0.807844410025485,8.28395810141994e-115,2.76329173811651e-112,TRUE,TRUE,"Positive","RABL6","Rab-like protein 6","RABL6","Q3YEC7"
"X5858.6",495,0.805282485773331,5.31611712808273e-114,1.69270002191907e-111,TRUE,TRUE,"Positive","YWHAZ","14-3-3 protein zeta/delta","14-3-3 protein zeta/delta","P63104"
"X9169.14",495,0.797715570650597,2.29834384367858e-110,6.99995592389934e-108,TRUE,TRUE,"Positive","SUMO3","Small ubiquitin-related modifier 3","SUMO3","P55854"
"X21889.2",493,0.796845455834683,1.61472323122195e-109,4.71297343112906e-107,TRUE,TRUE,"Positive","GGCT","Uncharacterized protein C7orf24","CG024","O75223"
"X9099.19",492,0.795521290414098,1.09882487488603e-108,3.07890729943067e-106,TRUE,TRUE,"Positive","SYT5","Synaptotagmin-5","SYT5","O00445"
"X17775.8",495,0.793074077018778,3.27947132619768e-108,8.83565255385183e-106,TRUE,TRUE,"Positive","TAGLN3","Transgelin-3","TAGL3","Q9UI15"
"X19392.6",495,0.792143732365316,8.72946852318884e-108,2.26481211129399e-105,TRUE,TRUE,"Positive","DDAH1","N(G),N(G)-dimethylarginine dimethylaminohydrolase 1","DDAH1","O94760"
"X4276.10",493,0.790849869244503,9.03774794687836e-107,2.26105087028153e-104,TRUE,TRUE,"Positive","PEBP1","Phosphatidylethanolamine-binding protein 1","prostatic binding protein","P30086"
"X19196.73",492,0.786185908203428,1.74374278057978e-104,4.21204075102115e-102,TRUE,TRUE,"Positive","HOPX","Homeodomain-only protein","HOP","Q9BPY8"
"X14066.49",495,0.783458654241573,6.42518608020411e-104,1.50028094972766e-101,TRUE,TRUE,"Positive","MAGI2","Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 2","MAGI2","Q86UL8"
"X22968.9",491,0.780725199178734,6.40747711559035e-102,1.44788313531324e-99,TRUE,TRUE,"Positive","GAGE2D","G antigen 2D","GGE2D","Q9UEU5"
"X19194.9",495,0.778170131678325,1.19126562379457e-101,2.60775490458779e-99,TRUE,TRUE,"Positive","DTD1","D-tyrosyl-tRNA(Tyr) deacylase 1","Histidyl-tRNA synthetase-related","Q8TEA8"
"X11490.42",495,0.777380745992743,2.56559098568083e-101,5.329231369834e-99,TRUE,TRUE,"Positive","UBL4A","Ubiquitin-like protein 4A","UBL4A","P11441"
"X24908.19",495,0.777372322534488,2.58663621091158e-101,5.329231369834e-99,TRUE,TRUE,"Positive","AMPH","Amphiphysin","AMPH","P49418"
"X17781.191",494,0.7775874965982,3.34195167629408e-101,6.68867756926858e-99,TRUE,TRUE,"Positive","MAP1LC3A","Microtubule-associated proteins 1A/1B light chain 3A","MLP3A","Q9H492"
"X8019.73",494,0.776362613893729,1.0909340961716e-100,2.12277592880057e-98,TRUE,TRUE,"Positive","STMN3","Stathmin-3","STMN3","Q9NZ72"
"X9877.28",495,0.775430281959006,1.68494640645335e-100,3.1900133992448e-98,TRUE,TRUE,"Positive","CRKL","Crk-like protein","CRKL","P46109"
"X13242.134",494,0.775706268018871,2.05008895350153e-100,3.77917713665216e-98,TRUE,TRUE,"Positive","SHANK3","SH3 and multiple ankyrin repeat domains protein 3","SHAN3","Q9BYB0"
"X20111.5",492,0.775421071055004,6.77238442920223e-100,1.2164244340144e-97,TRUE,TRUE,"Positive","BASP1","Brain acid soluble protein 1","BASP","P80723"
"X18930.28",495,0.773628702555491,9.42540552910795e-100,1.65062414328503e-97,TRUE,TRUE,"Positive","SLIT2","Slit homolog 2 protein","SLIT2","O94813"
"X14156.33",495,0.773149350189511,1.48621650915905e-99,2.53925527967296e-97,TRUE,TRUE,"Positive","YWHAB","14-3-3 protein beta/alpha","14-3-3 protein beta/alpha","P31946"
"X11354.21",495,0.773109772481421,1.5430862962561e-99,2.5736475012557e-97,TRUE,TRUE,"Positive","PLCB1","1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1","Phospholipase C-beta-1","Q9NQ66"
"X15474.7",495,0.772695172513684,2.28575073006722e-99,3.72364741026066e-97,TRUE,TRUE,"Positive","PIN1","Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1","PIN1","Q13526"
"X11476.43",490,0.774854025676158,2.91504592257728e-99,4.64088561083041e-97,TRUE,TRUE,"Positive","VPS4A","Vacuolar protein sorting-associated protein 4A","VPS4A","Q9UN37"
"X12401.3",494,0.769380862027248,8.04067186211151e-98,1.25166458653536e-95,TRUE,TRUE,"Positive","STAMBPL1","AMSH-like protease","STALP","Q96FJ0"
"X21955.36",494,0.768862801795574,1.3002428814896e-97,1.98004377931188e-95,TRUE,TRUE,"Positive","BAG6","Large proline-rich protein BAT3","BAT3","P46379"
"X23546.9",494,0.767326400541236,5.36855889505955e-97,8.00143724678556e-95,TRUE,TRUE,"Positive","HAGHL","Hydroxyacylglutathione hydrolase-like protein","HAGHL","Q6PII5"
"X16885.49",494,0.764847863409325,5.1685193241151e-96,7.54280788863047e-94,TRUE,TRUE,"Positive","MAPRE3","Microtubule-associated protein RP/EB family member 3","MARE3","Q9UPY8"
"X21667.57",493,0.76355984607778,2.57077881704435e-95,3.67516441089707e-93,TRUE,TRUE,"Positive","PDE1B","Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1B","PDE1B","Q01064"
"X24637.3",493,0.763243136680154,3.4183353007387e-95,4.78908775633492e-93,TRUE,TRUE,"Positive","TCEAL5","Transcription elongation factor A protein-like 5","TCAL5","Q5H9L2"
"X11557.3",494,0.761263680755736,1.30110698020814e-94,1.78710870516824e-92,TRUE,TRUE,"Positive","SMURF1","E3 ubiquitin-protein ligase SMURF1","SMUF1","Q9HCE7"
"X11659.31",494,0.758409316155983,1.63089277448749e-93,2.19700074717017e-91,TRUE,TRUE,"Positive","CLINT1","Clathrin interactor 1","EPN4","Q14677"
"X7997.118",494,0.756584943094663,8.05948300485614e-93,1.06522034809467e-90,TRUE,TRUE,"Positive","DOC2B","Double C2-like domain-containing protein beta","DOC2B","Q14184"
"X22037.47",495,0.752766078089457,1.43568882724078e-91,1.8624074508929e-89,TRUE,TRUE,"Positive","EFHD2","EF-hand domain-containing protein D2","EFHD2","Q96C19"
"X5476.66",495,0.752719526157261,1.49416663937026e-91,1.9030249652343e-89,TRUE,TRUE,"Positive","PRKCG","Protein kinase C gamma type","PKC-G","P05129"
"X12861.13",495,0.752387276945629,1.98626055633249e-91,2.48459914234091e-89,TRUE,TRUE,"Positive","TMOD3","Tropomodulin-3","TMOD3","Q9NYL9"
"X12517.52",495,0.748768554665415,4.28573037109974e-90,5.2669370613252e-88,TRUE,TRUE,"Positive","PDCD5","Programmed cell death protein 5","TFAR19","O14737"
"X20197.14",495,0.747283509431476,1.48891744704443e-89,1.79825288216314e-87,TRUE,TRUE,"Positive","VSNL1","Visinin-like protein 1","VISL1","P62760"
"X19273.3",494,0.745009641803994,1.47905426248685e-88,1.75606357774922e-86,TRUE,TRUE,"Positive","GSR","Glutathione reductase, mitochondrial","Glutathione reductase","P00390"
"X8358.30",494,0.744733175321648,1.85775406802089e-88,2.16892787441439e-86,TRUE,TRUE,"Positive","PRDX3","Thioredoxin-dependent peroxide reductase, mitochondrial","Peroxiredoxin-3","P30048"
"X21328.2",495,0.742611792316565,7.07758156250456e-88,8.12761620415482e-86,TRUE,TRUE,"Positive","SYT1","Synaptotagmin-1","SYT1","P21579"
"X3766.51",495,0.742074365184106,1.09766882196843e-87,1.24018872546594e-85,TRUE,TRUE,"Positive","STX1A","Syntaxin-1A","STX1a","Q16623"
"X13118.5",495,0.740842756084697,2.98845203920264e-87,3.32287405311341e-85,TRUE,TRUE,"Positive","SMOC1","SPARC-related modular calcium-binding protein 1","SMOC1","Q9H4F8"
"X18165.181",495,0.740188572517125,5.07554119928914e-87,5.46987170784929e-85,TRUE,TRUE,"Positive","UBE2V2","Ubiquitin-conjugating enzyme E2 variant 2","UB2V2","Q15819"
"X8274.64",495,0.740203117536787,5.01620550834454e-87,5.46987170784929e-85,TRUE,TRUE,"Positive","STX7","Syntaxin-7","Syntaxin-7","O15400"
"X15612.5",493,0.740969728640262,5.99038016549449e-87,6.35797167564984e-85,TRUE,TRUE,"Positive","LIN7B","Protein lin-7 homolog B","LIN7B","Q9HAP6"
"X12661.44",494,0.739491840513931,1.32444726973557e-86,1.38473927231309e-84,TRUE,TRUE,"Positive","GABARAPL1","Gamma-aminobutyric acid receptor-associated protein-like 1","GBRL1","Q9H0R8"
"X18284.77",493,0.739613309002914,1.78649300383202e-86,1.84035051350637e-84,TRUE,TRUE,"Positive","WWC1","Protein KIBRA","WWC1","Q8IX03"
"X15526.33",492,0.738759865666859,5.25853071883117e-86,5.33855183846556e-84,TRUE,TRUE,"Positive","GSS","Glutathione synthetase","GSHB","P48637"
"X12720.71",495,0.736079392886139,1.36365249873315e-85,1.36462653623224e-83,TRUE,TRUE,"Positive","UBQLN4","Ubiquilin-4","UBQL4","Q9NRR5"
"X15321.8",495,0.733156229097899,1.36524900485506e-84,1.34698158859291e-82,TRUE,TRUE,"Positive","CPLX2","Complexin-2","CPLX2","Q6PUV4"
"X17735.130",494,0.733360454974986,1.71306675701878e-84,1.66420822492921e-82,TRUE,TRUE,"Positive","GABARAP","Gamma-aminobutyric acid receptor-associated protein","GBRAP","O95166"
"X19267.14",494,0.733344707568185,1.73429265410181e-84,1.66420822492921e-82,TRUE,TRUE,"Positive","HAGH","Hydroxyacylglutathione hydrolase, mitochondrial","GLO2","Q16775"
"X11608.5",495,0.731372490917374,5.48597951172262e-84,5.19314682156986e-82,TRUE,TRUE,"Positive","MAP1LC3B","Microtubule-associated proteins 1A/1B light chain 3B","MLP3B","Q9GZQ8"
"X23320.11",494,0.731507464493275,7.25232612372403e-84,6.77367259955825e-82,TRUE,TRUE,"Positive","MVB12B","Multivesicular body subunit 12B","MB12B","Q9H7P6"
"X21747.114",494,0.72983469321108,2.64090637238179e-83,2.43415120243874e-81,TRUE,TRUE,"Positive","UBE2N|UBE2V1","UBE2N (Ubc13)/Uev1a Complex","UBE2N/UB2V1 Complex","P61088|Q13404"
"X23528.199",495,0.728469224831311,5.15356604617186e-83,4.68840651343297e-81,TRUE,TRUE,"Positive","PHYHIPL","Phytanoyl-CoA hydroxylase-interacting protein-like","PHIPL","Q96FC7"
"X24669.12",495,0.726645750284504,2.0735267085216e-82,1.8621864863069e-80,TRUE,TRUE,"Positive","DNAJC5B","DnaJ homolog subfamily C member 5B","DNJ5B","Q9UF47"
"X11279.42",494,0.72577620428385,5.83704363785321e-82,5.17575831432427e-80,TRUE,TRUE,"Positive","GABBR1","Gamma-aminobutyric acid type B receptor subunit 1","GABR1","Q9UBS5"
"X17791.25",494,0.725406576593417,7.71678120468795e-82,6.75700654235489e-80,TRUE,TRUE,"Positive","HPCAL1","Hippocalcin-like protein 1","HPCL1","P37235"
"X19121.3",495,0.723660584914252,1.97688859069934e-81,1.70964254047517e-79,TRUE,TRUE,"Positive","UBQLN2","Ubiquilin-2","UBQL2","Q9UHD9"
"X8963.8",495,0.723172740477929,2.84966062334377e-81,2.43437471542965e-79,TRUE,TRUE,"Positive","VTI1B","Vesicle transport through interaction with t-SNAREs homolog 1B","Vti1-rp1","Q9UEU0"
"X10001.7",491,0.724090184818603,6.35265566113837e-81,5.36148830196076e-79,TRUE,TRUE,"Positive","RAF1","RAF proto-oncogene serine/threonine-protein kinase","c-Raf","P04049"
"X11626.7",493,0.722019562782105,1.41145574767666e-80,1.17705327529465e-78,TRUE,TRUE,"Positive","UBE2V1","Ubiquitin-conjugating enzyme E2 variant 1","UB2V1","Q13404"
"X5864.10",495,0.719591237184431,4.07698983228675e-80,3.35991926766691e-78,TRUE,TRUE,"Positive","ALDOA","Fructose-bisphosphate aldolase A","aldolase A","P04075"
"X13522.20",493,0.719101423198976,1.21338672380158e-79,9.88345813980241e-78,TRUE,TRUE,"Positive","VSNL1","Visinin-like protein 1","VISL1","P62760"
"X21110.5",495,0.717899487297555,1.41225228787741e-79,1.13710658351508e-77,TRUE,TRUE,"Positive","UBE2Z","Ubiquitin-conjugating enzyme E2 Z","UBE2Z","Q9H832"
"X22430.15",491,0.719601776994932,1.74710855951885e-79,1.39073812038972e-77,TRUE,TRUE,"Positive","CHN1","N-chimaerin","CHIN","P15882"
"X3872.2",495,0.715896841857269,6.07489958165761e-79,4.78142377185523e-77,TRUE,TRUE,"Positive","TPT1","Translationally-controlled tumor protein","TCTP","P13693"
"X24717.26",495,0.715723609944702,6.88796705383777e-79,5.36113435690373e-77,TRUE,TRUE,"Positive","PTPA","Serine/threonine-protein phosphatase 2A regulatory subunit B'","PTPA","Q15257"
"X3853.56",491,0.716892479895313,1.25193914348677e-78,9.63717989024709e-77,TRUE,TRUE,"Positive","MDH1","Malate dehydrogenase, cytoplasmic","MDHC","P40925"
"X18387.7",495,0.714640668840314,1.50727879849969e-78,1.14766173733591e-76,TRUE,TRUE,"Positive","ST13","Hsc70-interacting protein","suppression of tumorigenicity 13","P50502"
"X20942.4",495,0.714469044878894,1.70587499535825e-78,1.28490906908436e-76,TRUE,TRUE,"Positive","DNAJB8","DnaJ homolog subfamily B member 8","DNJB8","Q8NHS0"
"X17721.82",487,0.718131659925906,2.18384545821307e-78,1.62742951433857e-76,TRUE,TRUE,"Positive","GAS7","Growth arrest-specific protein 7","GAS7","O60861"
"X23396.21",494,0.71333174747719,5.52054396763211e-78,4.07067478876452e-76,TRUE,TRUE,"Positive","TWF2","Twinfilin-2","TWF2","Q6IBS0"
"X3905.62",495,0.712071000507728,9.52563446703906e-78,6.95073640016756e-76,TRUE,TRUE,"Positive","UBE2N","Ubiquitin-conjugating enzyme E2 N","UBE2N","P61088"
"X25060.18",492,0.713189869869616,1.24612849539362e-77,8.99910320642503e-76,TRUE,TRUE,"Positive","ME1","NADP-dependent malic enzyme","MAOX","P48163"
"X4976.57",494,0.71139101759789,2.20247599764886e-77,1.57432085342145e-75,TRUE,TRUE,"Positive","CRK","Adapter molecule crk","CRK","P46108"
"X10058.1",495,0.709432423666962,6.19368231747713e-77,4.38249945797245e-75,TRUE,TRUE,"Positive","RAD23A","UV excision repair protein RAD23 homolog A","RD23A","P54725"
"X14037.18",494,0.709420063742776,8.87396193173773e-77,6.21621033318228e-75,TRUE,TRUE,"Positive","RANBP3","Ran-binding protein 3","RANB3","Q9H6Z4"
"X9738.7",495,0.706364611814556,5.3194597953635e-76,3.68938770955657e-74,TRUE,TRUE,"Positive","FAF2","FAS-associated factor 2","FAF2","Q96CS3"
"X9883.29",495,0.705988191571135,6.91235740320925e-76,4.74716309896871e-74,TRUE,TRUE,"Positive","GLO1","Lactoylglutathione lyase","Glyoxalase I","Q04760"
"X21747.8",494,0.70551892523834,1.3526110521579e-75,9.19906836928749e-74,TRUE,TRUE,"Positive","UBE2N|UBE2V1","UBE2N (Ubc13)/Uev1a Complex","UBE2N/UB2V1 Complex","P61088|Q13404"
"X8300.82",491,0.707002235725835,1.36873742569218e-75,9.21923621824397e-74,TRUE,TRUE,"Positive","PEX14","Peroxisomal membrane protein PEX14:N-term","PEX14:N-term","O75381"
"X18332.17",495,0.704054879727676,2.63669737884376e-75,1.75905382274291e-73,TRUE,TRUE,"Positive","CPLX1","Complexin-1","CPLX1","O14810"
"X25232.4",495,0.702999110834654,5.4524077215625e-75,3.60321849901371e-73,TRUE,TRUE,"Positive","EHD3","EH domain-containing protein 3","EHD3","Q9NZN3"
"X13621.31",493,0.701073161938534,4.01040179897224e-74,2.62550136465425e-72,TRUE,TRUE,"Positive","AP2A2","AP-2 complex subunit alpha-2","AP2A2","O94973"
"X21483.155",494,0.699705669107899,7.21838998112957e-74,4.68192794609376e-72,TRUE,TRUE,"Positive","PRKAR1A","cAMP-dependent protein kinase type I-alpha regulatory subunit","KAP0","P10644"
"X23929.159",493,0.699436080850882,1.21296286316564e-73,7.79523381328012e-72,TRUE,TRUE,"Positive","PRRT2","Proline-rich transmembrane protein 2","PRRT2","Q7Z6L0"
"X17818.22",494,0.696116195769691,8.02160470691124e-73,5.10830372471939e-71,TRUE,TRUE,"Positive","SUGT1","Protein SGT1 homolog","SUGT1","Q9Y2Z0"
"X21756.5",493,0.695390959381467,1.8097533315771e-72,1.14210108898176e-70,TRUE,TRUE,"Positive","UBE2N|UBE2V2","UBE2N/UBE2V2 Complex","UBE2N/UBE2V2 Complex","P61088|Q15819"
"X17706.4",492,0.69127622695236,3.74318179373792e-71,2.34115968438697e-69,TRUE,TRUE,"Positive","PPP1R1A","Protein phosphatase 1 regulatory subunit 1A","PPR1A","Q13522"
"X14070.56",492,0.690733403659475,5.32530012429465e-71,3.30121481156496e-69,TRUE,TRUE,"Positive","ITSN1","Intersectin-1","ITSN1","Q15811"
"X3405.6",494,0.689402144571378,6.59851841410037e-71,4.05461592024326e-69,TRUE,TRUE,"Positive","UFC1","Ubiquitin-fold modifier-conjugating enzyme 1","UFC1","Q9Y3C8"
"X12432.23",494,0.687427053382051,2.36008392393665e-70,1.43759894671098e-68,TRUE,TRUE,"Positive","CACYBP","Calcyclin-binding protein","CYBP","Q9HB71"
"X9789.52",495,0.684260976246074,1.29841641777309e-69,7.84086810905215e-68,TRUE,TRUE,"Positive","SYNE2","Nesprin-2","Nesprin-2","Q8WXH0"
"X24435.1",495,0.683874901528046,1.65934346440404e-69,9.93478715226521e-68,TRUE,TRUE,"Positive","DNM1","Dynamin-1","Dynamin","Q05193"
"X11214.40",492,0.684558788689683,2.78190520783345e-69,1.65146152380282e-67,TRUE,TRUE,"Positive","DNAJB9","DnaJ homolog subfamily B member 9","DNJB9","Q9UBS3"
"X17686.27",494,0.683258328652772,3.36297539747461e-69,1.97963383691677e-67,TRUE,TRUE,"Positive","TBCB","Tubulin-folding cofactor B","TBCB","Q99426"
"X9719.145",495,0.682289172576001,4.52614349528897e-69,2.64213626537493e-67,TRUE,TRUE,"Positive","MMP16","Matrix metalloproteinase-16","MMP-16","P51512"
"X10903.50",495,0.679689720138994,2.31289174918635e-68,1.3389922895083e-66,TRUE,TRUE,"Positive","STX8","Syntaxin-8","STX8","Q9UNK0"
"X8353.15",495,0.678720505919294,4.23077505338354e-68,2.42922780729113e-66,TRUE,TRUE,"Positive","SCN2B","Sodium channel subunit beta-2","SCN2B","O60939"
"X19553.14",495,0.67659070099871,1.58196847577781e-67,9.00950339253946e-66,TRUE,TRUE,"Positive","STX1A","Syntaxin-1A","STX1a","Q16623"
"X12796.44",490,0.677570806992985,4.0329950688589e-67,2.27831697236747e-65,TRUE,TRUE,"Positive","NUDT3","Diphosphoinositol polyphosphate phosphohydrolase 1","NUDT3","O95989"
"X17746.77",495,0.673348382347666,1.15332417388219e-66,6.46322867043579e-65,TRUE,TRUE,"Positive","FIS1","Mitochondrial fission 1 protein","FIS1","Q9Y3D6"
"X22966.20",495,0.672545325879595,1.87905514176944e-66,1.04466518000753e-64,TRUE,TRUE,"Positive","GABARAP","Gamma-aminobutyric acid receptor-associated protein","GBRAP","O95166"
"X17712.7",495,0.67226534949733,2.22684277637788e-66,1.22827036602575e-64,TRUE,TRUE,"Positive","IDI1","Isopentenyl-diphosphate Delta-isomerase 1","IDI1","Q13907"
"X18310.26",494,0.672525700093649,2.5720252267068e-66,1.40758099320946e-64,TRUE,TRUE,"Positive","SELENOW","Selenoprotein W","SELW","P63302"
"X8070.88",489,0.671763517222677,1.83753361408182e-65,9.9782348578629e-64,TRUE,TRUE,"Positive","DLG4","Disks large homolog 4","DLG4","P78352"
"X19293.6",495,0.667290139516471,4.41407696254758e-65,2.37850839404968e-63,TRUE,TRUE,"Positive","VPS26A","Vacuolar protein sorting-associated protein 26A","VP26A","O75436"
"X12522.6",494,0.666296489341824,1.0685295892064e-64,5.71377845220674e-63,TRUE,TRUE,"Positive","RAD23B","UV excision repair protein RAD23 homolog B","RD23B","P54727"
"X11438.6",488,0.667286982557165,3.50316953727159e-64,1.85906837943845e-62,TRUE,TRUE,"Positive","DNAJB2","DnaJ homolog subfamily B member 2","DNJB2","P25686"
"X7738.299",494,0.663404552809695,5.84727270760327e-64,3.07971017419255e-62,TRUE,TRUE,"Positive","STX2","Syntaxin-2","STX2","P32856"
"X25292.4",494,0.660586035785321,3.00944769579198e-63,1.5732224708226e-61,TRUE,TRUE,"Positive","CES3","Carboxylesterase 3","EST3","Q6UWW8"
"X19175.18",494,0.659017449966225,7.43270482640922e-63,3.85674794881456e-61,TRUE,TRUE,"Positive","MARCKSL1","MARCKS-related protein","MARCKSL1","P49006"
"X9826.135",494,0.658324827718746,1.10606036943166e-62,5.69702418225648e-61,TRUE,TRUE,"Positive","FHIT","Bis(5'-adenosyl)-triphosphatase","Fragile histidine triad protein","P49789"
"X21849.2",494,0.656348905157924,3.41789785640192e-62,1.74761857548142e-60,TRUE,TRUE,"Positive","UBQLN3","Ubiquilin-3","UBQL3","Q9H347"
"X4272.46",495,0.65308239241215,1.63886938543375e-61,8.31904351084305e-60,TRUE,TRUE,"Positive","GPI","Glucose-6-phosphate isomerase","PHI","P06744"
"X17380.2",493,0.654025055902293,1.68638153872886e-61,8.49863502071633e-60,TRUE,TRUE,"Positive","UBE2K","Ubiquitin-conjugating enzyme E2 K","UBE2K","P61086"
"X5980.55",492,0.65066797088754,1.45247613122027e-60,7.2675680708557e-59,TRUE,TRUE,"Positive","BOLA3","BolA-like protein 3","BOLA3","Q53S33"
"X13594.158",493,0.650080933464848,1.52616270210018e-60,7.58210619022111e-59,TRUE,TRUE,"Positive","GGA1","ADP-ribosylation factor-binding protein GGA1","GGA1","Q9UJY5"
"X7745.3",495,0.648558461524739,2.04718467575593e-60,1.00989638406129e-58,TRUE,TRUE,"Positive","CISD1","CDGSH iron-sulfur domain-containing protein 1","ZCD1","Q9NZ45"
"X5467.15",495,0.64530699087182,1.22420300226923e-59,5.99688253908807e-58,TRUE,TRUE,"Positive","HSP90AB1","Heat shock protein HSP 90-beta","HSP 90b","P08238"
"X14675.20",493,0.646236436539337,1.26610682841941e-59,6.15908217574861e-58,TRUE,TRUE,"Positive","EIF4B","Eukaryotic translation initiation factor 4B","IF4B","P23588"
"X12494.99",495,0.64225775404718,6.42234140465878e-59,3.1026552785955e-57,TRUE,TRUE,"Positive","GABARAPL2","Gamma-aminobutyric acid receptor-associated protein-like 2","GBRL2","P60520"
"X21707.15",495,0.64187129802477,7.91299985485465e-59,3.79661397145595e-57,TRUE,TRUE,"Positive","C1QL3","Complement C1q-like protein 3","C1QL3","Q5VWW1"
"X6641.60",494,0.642218922378284,8.5648836569228e-59,4.08142925283974e-57,TRUE,TRUE,"Positive","UBB","PolyUbiquitin K48-linked","PolyUbiquitin K48","P0CG47"
"X15368.3",495,0.641247876918934,1.10738092410207e-58,5.24135363063177e-57,TRUE,TRUE,"Positive","BMPER","BMP-binding endothelial regulator protein","BMPER","Q8N8U9"
"X18342.2",491,0.640690828855,4.31712240505886e-58,2.02962700989512e-56,TRUE,TRUE,"Positive","PSAT1","Phosphoserine aminotransferase","SERC","Q9Y617"
"X7186.111",495,0.638200294086887,5.66175249582473e-58,2.64403841555015e-56,TRUE,TRUE,"Positive","STX3","Syntaxin-3","STX3","Q13277"
"X12721.4",494,0.634732477144539,4.59260691290445e-57,2.13054380297322e-55,TRUE,TRUE,"Positive","TAX1BP1","Tax1-binding protein 1","TAXB1","Q86VP1"
"X18218.48",494,0.634350301275057,5.61128176351254e-57,2.58598873377667e-55,TRUE,TRUE,"Positive","CNRIP1","CB1 cannabinoid receptor-interacting protein 1","CB032","Q96F85"
"X13475.10",492,0.634545004697782,8.49963970580342e-57,3.89150170844137e-55,TRUE,TRUE,"Positive","UBE2D4","Ubiquitin-conjugating enzyme E2 D4","UB2D4","Q9Y2X8"
"X4696.2",489,0.633529874953123,3.12398162095392e-56,1.42100592563521e-54,TRUE,TRUE,"Positive","FABP3","Fatty acid-binding protein, heart","FABP","P05413"
"X17757.86",494,0.630666787609355,3.81398211416059e-56,1.72367385223838e-54,TRUE,TRUE,"Positive","CAB39","Calcium-binding protein 39","CAB39","Q9Y376"
