"protein_id","n","spearman_rho","p_value","fdr","significant_fdr05","significant_fdr01","direction","EntrezGeneSymbol","TargetFullName","Target","UniProt"
"X5121.3",493,0.262306525120084,3.35488545652875e-09,1.11696637941939e-08,TRUE,TRUE,"Positive","SEMA6B","Semaphorin-6B","SEM6B","Q9H3T3"
"X11245.43",494,0.262043753587972,3.35735734614807e-09,1.11725834725735e-08,TRUE,TRUE,"Positive","FLNA","Filamin-A:Calponin Homology 1","filamin A:CH1","P21333"
"X21817.5",494,0.261846332982077,3.45280110118755e-09,1.14847444035227e-08,TRUE,TRUE,"Positive","MYL9","Myosin, light chain 9, regulatory","MYL9","P24844"
"X10977.55",492,0.26210340790068,3.58151899564696e-09,1.19072333006677e-08,TRUE,TRUE,"Positive","UCMA","Unique cartilage matrix-associated protein","UCMA","Q8WVF2"
"X7066.199",492,0.262069261104489,3.59886716062628e-09,1.19592336148895e-08,TRUE,TRUE,"Positive","FAM209B","Protein FAM209B","F209B","Q5JX69"
"X25033.194",495,-0.261263084084749,3.61666122338335e-09,1.20126656566147e-08,TRUE,TRUE,"Negative","VCP","Transitional endoplasmic reticulum ATPase","TER ATPase","P55072"
"X9100.32",493,0.261703876462944,3.654061150261e-09,1.21311366623594e-08,TRUE,TRUE,"Positive","C5orf46","Uncharacterized protein C5orf46","CE046","Q6UWT4"
"X23700.42",495,-0.261136210313155,3.68232940094013e-09,1.22191934881978e-08,TRUE,TRUE,"Negative","ABCF3","ATP-binding cassette sub-family F member 3","ABCF3","Q9NUQ8"
"X18215.5",485,-0.263677247073847,3.71127839504412e-09,1.23094247903807e-08,TRUE,TRUE,"Negative","THG1L","Probable tRNA(His) guanylyltransferase","THG1","Q9NWX6"
"X24023.35",484,0.263874366468315,3.74622110364491e-09,1.24194409990689e-08,TRUE,TRUE,"Positive","PROCR","soluble Endothelial protein C receptor","sEPCR","Q9UNN8"
"X8997.4",490,0.261970966438118,3.92578192743591e-09,1.30085631039208e-08,TRUE,TRUE,"Positive","NPTXR","Neuronal pentraxin receptor","NPTXR","O95502"
"X14050.61",495,0.260631433298635,3.95524438661381e-09,1.3099993819494e-08,TRUE,TRUE,"Positive","EFNA4","Ephrin-A4","Ephrin-A4","P52798"
"X25299.11",493,0.260929018055904,4.07697137570924e-09,1.34967790580545e-08,TRUE,TRUE,"Positive","NCOA7","Nuclear receptor coactivator 7","NCOA7","Q8NI08"
"X21147.9",460,0.269822066219939,4.08500827060244e-09,1.35169971353661e-08,TRUE,TRUE,"Positive","FN3K","Fructosamine-3-kinase","Fructosamine-3-kinase","Q9H479"
"X7945.10",495,0.260233392334106,4.1841955404656e-09,1.3838663720945e-08,TRUE,TRUE,"Positive","SEMA6A","Semaphorin-6A","Semaphorin-6A","Q9H2E6"
"X6283.60",491,-0.261169815179348,4.23738170249896e-09,1.40079560292615e-08,TRUE,TRUE,"Negative","MCEMP1","Mast cell-expressed membrane protein 1","MCEM1","Q8IX19"
"X21713.11",489,0.261627000050398,4.27342024733919e-09,1.41204286946278e-08,TRUE,TRUE,"Positive","RELN","Reelin","RELN","P78509"
"X23403.64",487,0.262074783683121,4.31716839265943e-09,1.42582577041864e-08,TRUE,TRUE,"Positive","CDC42EP4","Cdc42 effector protein 4","BORG4","Q9H3Q1"
"X6508.68",471,0.266267283858839,4.36815744485759e-09,1.44198599911533e-08,TRUE,TRUE,"Positive","SCGB1D2","Secretoglobin family 1D member 2","SG1D2","O95969"
"X18331.3",491,0.260810529695441,4.4569050206541e-09,1.47058971595299e-08,TRUE,TRUE,"Positive","GBA","Glucosylceramidase","GLCM","P04062"
"X23161.3",489,-0.261126932436706,4.58388984977263e-09,1.51177723152812e-08,TRUE,TRUE,"Negative","KCTD6","BTB/POZ domain-containing protein KCTD6","KCTD6","Q8NC69"
"X25963.2",481,-0.262868499876766,4.81599471259831e-09,1.5875784923177e-08,TRUE,TRUE,"Negative","XPO5","Exportin-5","XPO5","Q9HAV4"
"X17204.17",492,-0.259820055331948,4.94010960323076e-09,1.62772661197702e-08,TRUE,TRUE,"Negative","PNMT","Phenylethanolamine N-methyltransferase","PNMT","P11086"
"X22387.26",492,-0.259749064089945,4.98950672827764e-09,1.64245745449177e-08,TRUE,TRUE,"Negative","PITX3","Pituitary homeobox 3","PITX3","O75364"
"X3522.57",490,0.260265453805777,4.98772547011406e-09,1.64245745449177e-08,TRUE,TRUE,"Positive","VIP","Vasoactive Intestinal Peptide","Vasoactive Intestinal Peptide","P01282"
"X11816.84",493,-0.259465637577261,5.00889045131904e-09,1.64806376756646e-08,TRUE,TRUE,"Negative","JAK2","Tyrosine-protein kinase JAK2","JAK2","O60674"
"X8252.2",495,0.258915593402244,5.0376765830534e-09,1.65675701710277e-08,TRUE,TRUE,"Positive","NOTUM","Palmitoleoyl-protein carboxylesterase NOTUM","NOTUM","Q6P988"
"X20572.6",492,0.259326253047852,5.29378362908623e-09,1.7393505779432e-08,TRUE,TRUE,"Positive","MERTK","Proto-oncogene tyrosine-protein kinase MER","MER","Q12866"
"X6384.19",493,-0.259071369543717,5.29340490772631e-09,1.7393505779432e-08,TRUE,TRUE,"Negative","WFDC3","WAP four-disulfide core domain protein 3","WFDC3","Q8IUB2"
"X21322.60",491,-0.25950183191194,5.35371960536965e-09,1.75821874522336e-08,TRUE,TRUE,"Negative","GTF2E2","Transcription initiation factor IIE subunit beta","T2EB","P29084"
"X22041.26",469,-0.264822526579015,5.74203524970132e-09,1.88486208641789e-08,TRUE,TRUE,"Negative","MAP2K5","Dual specificity mitogen-activated protein kinase kinase 5","MP2K5","Q13163"
"X5015.15",494,0.258101010014566,5.85098199342229e-09,1.91972500533598e-08,TRUE,TRUE,"Positive","PLA2G7","Platelet-activating factor acetylhydrolase","PAFAH","Q13093"
"X18220.141",495,0.257799808777044,5.89035102022577e-09,1.93173730789707e-08,TRUE,TRUE,"Positive","SRA1","Steroid receptor RNA activator 1","SRA1","Q9HD15"
"X11647.6",488,0.259574130300388,5.90172333398055e-09,1.93456115837781e-08,TRUE,TRUE,"Positive","FZD10","Frizzled-10:Cytoplasmic domain","Frizzled-10:CD","Q9ULW2"
"X16792.4",475,0.262985061232352,5.91057903738344e-09,1.93655781837563e-08,TRUE,TRUE,"Positive","SIGLEC5","Sialic acid-binding Ig-like lectin 5","Siglec-5","O15389"
"X9504.19",494,0.258002663683445,5.93191538548183e-09,1.94263989131838e-08,TRUE,TRUE,"Positive","RAB27A","Ras-related protein Rab-27A","RB27A","P51159"
"X4212.5",493,0.258062855638737,6.09436229707292e-09,1.9949069107942e-08,TRUE,TRUE,"Positive","EPS15L1","Epidermal growth factor receptor substrate 15-like 1","EP15R","Q9UBC2"
"X18831.6",494,0.257732169133441,6.16015650547293e-09,2.01550192997842e-08,TRUE,TRUE,"Positive","LRIG1","Leucine-rich repeats and immunoglobulin-like domains protein 1","LRIG1","Q96JA1"
"X21382.70",474,-0.262911907228172,6.19411447991201e-09,2.02566628999924e-08,TRUE,TRUE,"Negative","ELAC1","Zinc phosphodiesterase ELAC protein 1","RNZ1","Q9H777"
"X23029.3",485,-0.259996115978664,6.19968486351068e-09,2.0265418790897e-08,TRUE,TRUE,"Negative","SH3GL3","Endophilin-A3","SH3G3","Q99963"
"X22103.25",478,0.261744328943931,6.27842254298455e-09,2.05132229074659e-08,TRUE,TRUE,"Positive","CDK20","Cyclin-dependent kinase 20","CDK20","Q8IZL9"
"X16916.19",495,0.257304109466887,6.31260856309862e-09,2.06153020906787e-08,TRUE,TRUE,"Positive","SLITRK6","SLIT and NTRK-like protein 6","SLIK6","Q9H5Y7"
"X22586.24",490,0.258561719767181,6.32455807483145e-09,2.06447014511623e-08,TRUE,TRUE,"Positive","BTN2A2","Butyrophilin subfamily 2 member A2","BT2A2","Q8WVV5"
